the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.187       0.03        0.13           0.360       0.140       0.360     
4          24              96                1000      0.192       0.13        0.50           0.360       0.140       0.500     
16         96              384               1000      0.191       0.50        2.01           0.760       0.140       0.520     
64         384             1536              1000      0.227       1.69        6.78           0.400       0.200       0.520     
256        1536            6144              1000      0.393       3.90        15.62          0.820       0.360       0.980     
1024       6144            24576             1000      1.504       4.09        16.34          1.980       1.300       6.820     
4096       24576           98304             1000      5.508       4.46        17.85          10.540      5.200       34.880    
16384      98304           393216            1000      23.485      4.19        16.74          50.920      22.720      137.960   
65536      393216          1572864           1000      367.678     1.07        4.28           404.280     354.380     489.980   
262144     1572864         6291456           1000      1580.542    1.00        3.98           1612.140    1560.420    1560.100  
1048576    6291456         25165824          1000      9835.529    0.64        2.56           9876.160    9784.020    9837.740  

