the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.170       0.04        0.14           0.320       0.080       0.600     
4          24              96                1000      0.144       0.17        0.66           0.300       0.080       0.340     
16         96              384               1000      0.138       0.70        2.79           0.280       0.080       0.160     
64         384             1536              1000      0.181       2.12        8.49           0.480       0.120       0.440     
256        1536            6144              1000      0.250       6.15        24.59          0.420       0.200       0.460     
1024       6144            24576             1000      0.700       8.77        35.09          0.860       0.660       1.220     
4096       24576           98304             1000      2.251       10.92       43.67          7.860       2.160       5.200     
16384      98304           393216            1000      22.586      4.35        17.41          29.780      22.280      37.280    
65536      393216          1572864           1000      88.899      4.42        17.69          121.200     87.420      142.800   
262144     1572864         6291456           1000      593.604     2.65        10.60          616.660     582.000     614.220   
1048576    6291456         25165824          1000      2848.767    2.21        8.83           3197.180    2815.300    2889.920  

