the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点�?    计算�?         总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.102       0.06        0.24           0.280       0.040       0.140     
2          12              48                1000      0.089       0.13        0.54           0.280       0.040       0.140     
4          24              96                1000      0.097       0.25        0.99           0.300       0.040       0.080     
8          48              192               1000      0.094       0.51        2.05           0.320       0.040       0.300     
16         96              384               1000      0.097       0.99        3.94           0.300       0.060       0.440     
32         192             768               1000      0.114       1.69        6.76           0.400       0.080       0.160     
64         384             1536              1000      0.130       2.95        11.81          0.580       0.100       0.360     
128        768             3072              1000      0.207       3.70        14.82          0.380       0.180       0.400     
256        1536            6144              1000      0.340       4.52        18.08          6.860       0.300       0.860     
512        3072            12288             1000      0.666       4.61        18.45          1.180       0.560       1.340     
1024       6144            24576             1000      1.247       4.93        19.71          7.940       1.100       2.940     
2048       12288           49152             1000      2.624       4.68        18.73          4.180       2.480       5.500     
4096       24576           98304             1000      5.314       4.62        18.50          11.260      5.120       9.760     
8192       49152           196608            1000      9.979       4.93        19.70          17.080      9.740       22.260    
16384      98304           393216            1000      20.652      4.76        19.04          45.100      19.080      43.920    
32768      196608          786432            1000      66.406      2.96        11.84          106.300     58.660      102.420   
65536      393216          1572864           1000      218.538     1.80        7.20           237.200     212.460     219.360   
131072     786432          3145728           1000      381.569     2.06        8.24           412.180     375.780     392.240   
262144     1572864         6291456           1000      840.451     1.87        7.49           872.840     829.520     836.000   
524288     3145728         12582912          1000      1906.580    1.65        6.60           1972.280    1888.260    1913.620  
1048576    6291456         25165824          1000      4139.089    1.52        6.08           4761.480    4104.420    4125.560  

