the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          7               16                1000      0.113       0.06        0.14           0.380       0.060       0.300     
2          14              32                1000      0.117       0.12        0.27           0.260       0.080       0.440     
4          28              64                1000      0.113       0.25        0.57           0.260       0.080       0.180     
8          56              128               1000      0.116       0.48        1.11           0.280       0.060       0.180     
16         112             256               1000      0.112       1.00        2.29           0.280       0.080       0.100     
32         224             512               1000      0.137       1.63        3.73           0.420       0.100       0.480     
64         448             1024              1000      0.163       2.75        6.28           0.420       0.140       0.260     
128        896             2048              1000      0.266       3.37        7.70           0.400       0.240       0.320     
256        1792            4096              1000      0.451       3.97        9.07           0.740       0.420       0.860     
512        3584            8192              1000      0.957       3.74        8.56           1.260       0.860       2.020     
1024       7168            16384             1000      1.453       4.93        11.27          9.620       1.380       3.840     
2048       14336           32768             1000      2.639       5.43        12.42          4.800       2.560       9.380     
4096       28672           65536             1000      5.422       5.29        12.09          11.980      5.120       17.320    
8192       57344           131072            1000      9.715       5.90        13.49          16.080      9.500       31.140    
16384      114688          262144            1000      19.318      5.94        13.57          33.920      18.840      67.660    
32768      229376          524288            1000      39.070      5.87        13.42          104.780     37.600      122.260   
65536      458752          1048576           1000      204.832     2.24        5.12           246.900     192.300     207.560   
131072     917504          2097152           1000      361.655     2.54        5.80           398.100     352.440     353.540   
262144     1835008         4194304           1000      712.550     2.58        5.89           778.640     698.020     692.300   
524288     3670016         8388608           1000      1528.258    2.40        5.49           1601.360    1498.780    1498.740  
1048576    7340032         16777216          1000      3098.478    2.37        5.41           4461.540    3069.820    3106.760  

