the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          7               16                1000      0.143       0.05        0.11           0.340       0.100       0.700     
2          14              32                1000      0.153       0.09        0.21           0.340       0.100       0.220     
4          28              64                1000      0.155       0.18        0.41           0.340       0.080       0.120     
8          56              128               1000      0.111       0.50        1.15           0.280       0.060       0.180     
16         112             256               1000      0.126       0.89        2.03           0.320       0.080       0.400     
32         224             512               1000      0.147       1.53        3.49           0.280       0.120       0.220     
64         448             1024              1000      0.220       2.03        4.65           0.360       0.180       0.240     
128        896             2048              1000      0.337       2.66        6.08           0.600       0.300       0.940     
256        1792            4096              1000      0.681       2.63        6.02           1.200       0.620       2.120     
512        3584            8192              1000      1.067       3.36        7.68           1.700       1.000       4.260     
1024       7168            16384             1000      1.978       3.62        8.28           3.080       1.880       10.700    
2048       14336           32768             1000      5.357       2.68        6.12           12.180      4.800       16.880    
4096       28672           65536             1000      7.990       3.59        8.20           14.160      7.020       28.620    
8192       57344           131072            1000      16.161      3.55        8.11           27.160      14.220      68.000    
16384      114688          262144            1000      32.430      3.54        8.08           102.980     26.880      117.400   
32768      229376          524288            1000      175.627     1.31        2.99           217.180     165.540     208.040   
65536      458752          1048576           1000      360.221     1.27        2.91           392.380     347.860     349.360   
131072     917504          2097152           1000      703.074     1.30        2.98           766.940     688.160     687.180   
262144     1835008         4194304           1000      1509.097    1.22        2.78           1839.620    1481.380    1489.520  
524288     3670016         8388608           1000      3134.923    1.17        2.68           3619.060    3107.920    3139.940  
1048576    7340032         16777216          1000      5077.860    1.45        3.30           5602.040    5046.680    5074.480  

