the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               16                1000      0.094       0.01        0.17           0.240       0.040       0.080     
2          2               32                1000      0.117       0.02        0.27           0.300       0.060       0.200     
4          4               64                1000      0.117       0.03        0.55           0.280       0.060       0.300     
8          8               128               1000      0.115       0.07        1.11           0.280       0.040       0.140     
16         16              256               1000      0.094       0.17        2.73           0.240       0.040       0.220     
32         32              512               1000      0.100       0.32        5.14           0.260       0.060       0.140     
64         64              1024              1000      0.116       0.55        8.82           0.260       0.100       0.320     
128        128             2048              1000      0.161       0.79        12.70          0.380       0.140       0.380     
256        256             4096              1000      0.253       1.01        16.17          0.500       0.220       0.800     
512        512             8192              1000      0.439       1.17        18.65          0.800       0.400       0.920     
1024       1024            16384             1000      0.886       1.16        18.49          3.000       0.780       2.480     
2048       2048            32768             1000      1.647       1.24        19.90          2.360       1.580       5.740     
4096       4096            65536             1000      3.296       1.24        19.88          10.980      3.200       10.580    
8192       8192            131072            1000      6.254       1.31        20.96          16.280      6.120       16.500    
16384      16384           262144            1000      12.337      1.33        21.25          27.240      12.040      30.800    
32768      32768           524288            1000      26.214      1.25        20.00          71.760      24.500      66.760    
65536      65536           1048576           1000      146.278     0.45        7.17           168.700     125.620     120.520   
131072     131072          2097152           1000      246.459     0.53        8.51           265.380     239.940     248.880   
262144     262144          4194304           1000      467.935     0.56        8.96           499.720     459.040     470.480   
524288     524288          8388608           1000      1126.056    0.47        7.45           1167.180    1114.860    1122.020  
1048576    1048576         16777216          1000      1804.283    0.58        9.30           1856.240    1787.300    1797.260  

