the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.086       0.07        0.28           0.260       0.060       0.760     
2          12              48                1000      0.107       0.11        0.45           0.300       0.060       0.540     
4          24              96                1000      0.111       0.22        0.87           0.260       0.060       0.600     
8          48              192               1000      0.122       0.39        1.58           0.440       0.060       0.180     
16         96              384               1000      0.117       0.82        3.27           0.280       0.080       0.300     
32         192             768               1000      0.134       1.43        5.74           0.420       0.120       0.160     
64         384             1536              1000      0.186       2.06        8.24           0.400       0.160       0.180     
128        768             3072              1000      0.278       2.76        11.05          0.560       0.240       0.580     
256        1536            6144              1000      0.451       3.40        13.61          1.000       0.400       0.960     
512        3072            12288             1000      0.877       3.50        14.01          1.680       0.840       2.040     
1024       6144            24576             1000      1.615       3.80        15.22          11.420      1.540       4.460     
2048       12288           49152             1000      3.407       3.61        14.43          9.560       3.020       9.480     
4096       24576           98304             1000      6.385       3.85        15.40          20.400      5.840       17.040    
8192       49152           196608            1000      12.433      3.95        15.81          24.760      11.740      40.700    
16384      98304           393216            1000      25.311      3.88        15.54          79.140      23.540      79.340    
32768      196608          786432            1000      173.794     1.13        4.53           192.340     167.060     162.060   
65536      393216          1572864           1000      343.662     1.14        4.58           471.220     330.800     329.200   
131072     786432          3145728           1000      701.301     1.12        4.49           771.260     687.140     679.680   
262144     1572864         6291456           1000      1456.579    1.08        4.32           1949.160    1421.960    1446.400  
524288     3145728         12582912          1000      3048.327    1.03        4.13           3669.540    2875.260    3142.680  
1048576    6291456         25165824          1000      7594.372    0.83        3.31           8421.740    6911.740    7253.200  

