the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               16                1000      0.130       0.01        0.12           0.280       0.040       0.120     
2          2               32                1000      0.132       0.02        0.24           0.300       0.040       0.300     
4          4               64                1000      0.154       0.03        0.42           0.340       0.080       0.460     
8          8               128               1000      0.152       0.05        0.84           0.380       0.080       0.240     
16         16              256               1000      0.128       0.13        2.01           0.260       0.060       0.060     
32         32              512               1000      0.130       0.25        3.94           0.280       0.060       0.300     
64         64              1024              1000      0.147       0.44        6.97           0.300       0.120       0.460     
128        128             2048              1000      0.193       0.66        10.64          0.520       0.180       0.520     
256        256             4096              1000      0.287       0.89        14.28          0.480       0.260       0.480     
512        512             8192              1000      0.468       1.09        17.49          0.880       0.440       0.700     
1024       1024            16384             1000      0.927       1.10        17.68          2.100       0.860       2.100     
2048       2048            32768             1000      1.701       1.20        19.27          9.600       1.640       3.440     
4096       4096            65536             1000      3.302       1.24        19.84          10.780      3.240       7.980     
8192       8192            131072            1000      6.265       1.31        20.92          12.240      6.160       15.740    
16384      16384           262144            1000      12.381      1.32        21.17          28.060      12.080      29.940    
32768      32768           524288            1000      26.190      1.25        20.02          73.500      24.500      65.520    
65536      65536           1048576           1000      147.352     0.44        7.12           166.540     127.080     122.640   
131072     131072          2097152           1000      246.380     0.53        8.51           278.440     239.520     249.620   
262144     262144          4194304           1000      468.721     0.56        8.95           508.560     463.360     472.640   
524288     524288          8388608           1000      1135.338    0.46        7.39           1425.760    1120.540    1123.520  
1048576    1048576         16777216          1000      1805.590    0.58        9.29           1905.660    1786.560    1794.800  

