the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.102       0.01        0.08           0.300       0.040       0.080     
2          2               16                1000      0.110       0.02        0.15           0.300       0.060       0.080     
4          4               32                1000      0.097       0.04        0.33           0.260       0.040       0.320     
8          8               64                1000      0.096       0.08        0.67           0.280       0.060       0.360     
16         16              128               1000      0.107       0.15        1.19           0.280       0.080       0.220     
32         32              256               1000      0.114       0.28        2.24           0.420       0.060       0.180     
64         64              512               1000      0.117       0.55        4.38           0.300       0.080       0.380     
128        128             1024              1000      0.151       0.85        6.79           1.760       0.100       0.520     
256        256             2048              1000      0.193       1.33        10.61          6.380       0.160       0.560     
512        512             4096              1000      0.277       1.85        14.78          0.460       0.260       0.800     
1024       1024            8192              1000      0.496       2.07        16.52          1.080       0.460       1.540     
2048       2048            16384             1000      0.955       2.14        17.15          3.320       0.900       1.520     
4096       4096            32768             1000      2.152       1.90        15.23          2.940       1.780       3.960     
8192       8192            65536             1000      4.388       1.87        14.93          11.320      4.000       8.040     
16384      16384           131072            1000      7.396       2.22        17.72          13.800      6.880       17.620    
32768      32768           262144            1000      14.136      2.32        18.54          34.760      13.580      38.480    
65536      65536           524288            1000      29.682      2.21        17.66          86.820      27.280      74.280    
131072     131072          1048576           1000      151.613     0.86        6.92           228.460     119.700     132.360   
262144     262144          2097152           1000      318.713     0.82        6.58           344.380     304.860     265.720   
524288     524288          4194304           1000      596.545     0.88        7.03           665.360     580.740     572.620   
1048576    1048576         8388608           1000      1082.390    0.97        7.75           1157.580    1066.120    1070.340  

