the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.135       0.01        0.06           0.460       0.080       0.100     
2          2               16                1000      0.143       0.01        0.11           0.300       0.060       0.220     
4          4               32                1000      0.107       0.04        0.30           0.260       0.040       0.100     
8          8               64                1000      0.101       0.08        0.64           0.260       0.040       0.140     
16         16              128               1000      0.089       0.18        1.44           0.240       0.040       0.120     
32         32              256               1000      0.104       0.31        2.47           0.260       0.060       0.100     
64         64              512               1000      0.099       0.65        5.19           0.260       0.060       0.140     
128        128             1024              1000      0.112       1.14        9.11           0.260       0.100       0.120     
256        256             2048              1000      0.155       1.66        13.25          0.400       0.140       0.160     
512        512             4096              1000      0.252       2.03        16.24          7.060       0.220       0.340     
1024       1024            8192              1000      0.415       2.47        19.73          0.780       0.380       1.600     
2048       2048            16384             1000      0.839       2.44        19.54          1.120       0.780       2.700     
4096       4096            32768             1000      1.617       2.53        20.26          2.540       1.560       6.460     
8192       8192            65536             1000      3.352       2.44        19.55          9.560       3.280       12.100    
16384      16384           131072            1000      6.512       2.52        20.13          14.540      6.340       17.260    
32768      32768           262144            1000      12.625      2.60        20.76          26.540      12.240      38.440    
65536      65536           524288            1000      26.497      2.47        19.79          77.120      24.920      83.320    
131072     131072          1048576           1000      130.020     1.01        8.06           151.140     110.660     129.460   
262144     262144          2097152           1000      245.728     1.07        8.53           299.320     239.460     263.300   
524288     524288          4194304           1000      467.731     1.12        8.97           535.340     462.120     476.720   
1048576    1048576         8388608           1000      1128.438    0.93        7.43           1426.540    1113.480    1137.280  

