the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.097       0.06        0.25           0.240       0.040       0.080     
2          12              48                1000      0.277       0.04        0.17           0.760       0.220       0.780     
4          24              96                1000      0.232       0.10        0.41           0.640       0.180       0.380     
8          48              192               1000      0.368       0.13        0.52           0.740       0.300       0.620     
16         96              384               1000      0.592       0.16        0.65           0.940       0.520       1.140     
32         192             768               1000      0.896       0.21        0.86           1.620       0.820       2.140     
64         384             1536              1000      1.660       0.23        0.93           3.540       1.540       4.660     
128        768             3072              1000      3.357       0.23        0.92           7.860       3.100       9.740     
256        1536            6144              1000      13.557      0.11        0.45           22.980      12.040      21.540    
512        3072            12288             1000      46.844      0.07        0.26           60.720      38.940      51.240    
1024       6144            24576             1000      91.047      0.07        0.27           100.160     89.240      95.700    
2048       12288           49152             1000      198.800     0.06        0.25           211.440     195.700     224.800   
4096       24576           98304             1000      436.736     0.06        0.23           452.320     429.620     473.180   
8192       49152           196608            1000      936.495     0.05        0.21           975.080     917.560     947.820   
16384      98304           393216            1000      2040.719    0.05        0.19           2077.420    2011.680    2055.320  

