the current thread cpu affinity is 0xffffffffffffffff, policy is 0, priority is 0
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.144       0.01        0.06           0.300       0.120       0.180     
2          2               16                1000      0.167       0.01        0.10           2.300       0.120       0.220     
4          4               32                1000      0.178       0.02        0.18           0.380       0.140       0.340     
8          8               64                1000      0.245       0.03        0.26           0.400       0.200       0.500     
16         16              128               1000      0.267       0.06        0.48           0.540       0.240       0.940     
32         32              256               1000      0.409       0.08        0.63           0.580       0.380       0.520     
64         64              512               1000      0.689       0.09        0.74           0.920       0.660       0.820     
128        128             1024              1000      1.267       0.10        0.81           2.020       1.220       1.600     
256        256             2048              1000      2.401       0.11        0.85           2.560       2.360       2.660     
512        512             4096              1000      4.685       0.11        0.87           4.860       4.660       5.120     
1024       1024            8192              1000      9.238       0.11        0.89           15.940      9.200       9.480     
2048       2048            16384             1000      18.641      0.11        0.88           80.780      18.460      18.880    
4096       4096            32768             1000      37.182      0.11        0.88           146.360     36.860      51.140    
8192       8192            65536             1000      73.772      0.11        0.89           160.940     73.120      87.980    
16384      16384           131072            1000      147.065     0.11        0.89           199.040     146.220     163.880   
32768      32768           262144            1000      293.621     0.11        0.89           329.420     292.240     299.420   
65536      65536           524288            1000      591.077     0.11        0.89           707.120     585.080     607.720   
131072     131072          1048576           1000      1393.028    0.09        0.75           1459.360    1223.480    1213.880  
262144     262144          2097152           1000      2386.402    0.11        0.88           2427.260    2370.500    2430.880  
524288     524288          4194304           1000      4838.831    0.11        0.87           4951.500    4801.640    4871.700  
1048576    1048576         8388608           1000      10128.557   0.10        0.83           10258.900   10016.720   10175.660 

