the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.071       0.01        0.06           0.140       0.040       0.060     
2          2               8                 1000      0.075       0.03        0.11           0.160       0.040       0.060     
4          4               16                1000      0.093       0.04        0.17           0.380       0.040       0.260     
8          8               32                1000      0.091       0.09        0.35           0.120       0.040       0.080     
16         16              64                1000      0.093       0.17        0.69           0.240       0.040       0.720     
32         32              128               1000      0.116       0.28        1.11           0.540       0.060       0.420     
64         64              256               1000      0.111       0.58        2.31           0.360       0.080       0.120     
128        128             512               1000      0.148       0.87        3.46           0.320       0.120       0.160     
256        256             1024              1000      0.204       1.25        5.02           0.300       0.180       0.480     
512        512             2048              1000      0.341       1.50        6.01           6.860       0.320       0.420     
1024       1024            4096              1000      0.583       1.76        7.02           0.760       0.560       1.100     
2048       2048            8192              1000      1.104       1.85        7.42           1.700       1.080       1.960     
4096       4096            16384             1000      2.141       1.91        7.65           3.160       2.120       3.980     
8192       8192            32768             1000      4.236       1.93        7.74           11.780      4.200       7.840     
16384      16384           65536             1000      8.492       1.93        7.72           149.280     8.280       16.640    
32768      32768           131072            1000      16.643      1.97        7.88           28.800      16.500      31.200    
65536      65536           262144            1000      33.738      1.94        7.77           353.440     32.880      78.640    
131072     131072          524288            1000      67.035      1.96        7.82           167.060     65.680      135.600   
262144     262144          1048576           1000      307.918     0.85        3.41           380.040     292.320     236.000   
524288     524288          2097152           1000      516.515     1.02        4.06           663.920     500.960     475.460   
1048576    1048576         4194304           1000      1008.864    1.04        4.16           1101.020    982.420     970.180   

