the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.072       0.01        0.06           0.220       0.040       0.080     
2          2               8                 1000      0.075       0.03        0.11           0.240       0.040       0.080     
4          4               16                1000      0.091       0.04        0.18           0.280       0.060       0.300     
8          8               32                1000      0.107       0.08        0.30           0.360       0.060       0.180     
16         16              64                1000      0.123       0.13        0.52           0.300       0.060       0.420     
32         32              128               1000      0.134       0.24        0.95           0.400       0.080       0.460     
64         64              256               1000      0.159       0.40        1.61           0.320       0.100       0.480     
128        128             512               1000      0.232       0.55        2.21           0.560       0.200       0.800     
256        256             1024              1000      0.329       0.78        3.11           0.640       0.260       0.740     
512        512             2048              1000      0.566       0.91        3.62           1.140       0.540       1.180     
1024       1024            4096              1000      1.040       0.98        3.94           1.420       0.980       1.340     
2048       2048            8192              1000      1.893       1.08        4.33           2.560       1.840       2.400     
4096       4096            16384             1000      3.783       1.08        4.33           4.920       3.700       4.740     
8192       8192            32768             1000      6.963       1.18        4.71           29.980      6.860       9.540     
16384      16384           65536             1000      13.897      1.18        4.72           185.420     13.520      20.580    
32768      32768           131072            1000      28.121      1.17        4.66           55.340      26.860      40.080    
65536      65536           262144            1000      54.530      1.20        4.81           176.740     53.540      95.420    
131072     131072          524288            1000      108.589     1.21        4.83           210.920     106.900     147.020   
262144     262144          1048576           1000      443.645     0.59        2.36           611.200     320.200     279.620   
524288     524288          2097152           1000      587.261     0.89        3.57           607.080     572.800     521.480   
1048576    1048576         4194304           1000      1068.922    0.98        3.92           1103.500    1053.320    1051.260  

