the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.086       0.01        0.09           0.160       0.040       0.120     
2          2               16                1000      0.079       0.03        0.20           0.220       0.040       0.400     
4          4               32                1000      0.077       0.05        0.41           0.240       0.040       0.600     
8          8               64                1000      0.075       0.11        0.85           0.220       0.040       0.260     
16         16              128               1000      0.075       0.21        1.70           0.140       0.040       0.500     
32         32              256               1000      0.097       0.33        2.64           0.280       0.040       0.180     
64         64              512               1000      0.109       0.59        4.71           0.260       0.060       0.480     
128        128             1024              1000      0.120       1.07        8.52           0.200       0.080       0.360     
256        256             2048              1000      0.150       1.71        13.68          0.580       0.120       0.560     
512        512             4096              1000      0.229       2.24        17.92          0.480       0.200       0.660     
1024       1024            8192              1000      0.441       2.32        18.56          0.900       0.380       1.200     
2048       2048            16384             1000      0.861       2.38        19.02          7.800       0.780       3.000     
4096       4096            32768             1000      1.875       2.19        17.48          2.460       1.620       5.060     
8192       8192            65536             1000      3.507       2.34        18.69          4.720       3.120       9.060     
16384      16384           131072            1000      6.582       2.49        19.91          14.960      6.220       25.380    
32768      32768           262144            1000      12.712      2.58        20.62          45.400      12.240      46.940    
65536      65536           524288            1000      25.961      2.52        20.19          95.780      24.480      119.060   
131072     131072          1048576           1000      183.678     0.71        5.71           204.720     166.080     212.700   
262144     262144          2097152           1000      413.825     0.63        5.07           452.860     405.560     409.360   
524288     524288          4194304           1000      848.991     0.62        4.94           1103.840    833.760     826.300   
1048576    1048576         8388608           1000      1612.832    0.65        5.20           1973.560    1558.600    1608.140  

