the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               8                 1000      0.108       0.06        0.07           0.340       0.060       0.080     
2          12              16                1000      0.109       0.11        0.15           0.240       0.040       0.060     
3          18              24                1000      0.110       0.16        0.22           0.400       0.060       0.080     
4          24              32                1000      0.117       0.21        0.27           0.260       0.040       0.120     
5          30              40                1000      0.115       0.26        0.35           0.260       0.040       0.260     
6          36              48                1000      0.117       0.31        0.41           0.280       0.040       0.220     
7          42              56                1000      0.116       0.36        0.48           0.260       0.040       0.080     
8          48              64                1000      0.117       0.41        0.55           0.300       0.040       0.140     
16         96              128               1000      0.124       0.77        1.03           0.260       0.040       0.200     
32         192             256               1000      0.138       1.39        1.85           0.280       0.060       0.180     
64         384             512               1000      0.139       2.75        3.67           0.280       0.060       0.240     
128        768             1024              1000      0.159       4.83        6.44           0.300       0.120       0.180     
256        1536            2048              1000      0.193       7.98        10.64          0.360       0.160       0.260     
512        3072            4096              1000      0.276       11.13       14.85          0.420       0.260       0.560     
1024       6144            8192              1000      0.522       11.76       15.68          0.940       0.460       1.000     
2048       12288           16384             1000      0.880       13.96       18.61          5.940       0.820       2.260     
4096       24576           32768             1000      1.756       14.00       18.66          2.500       1.600       3.540     
8192       49152           65536             1000      3.295       14.92       19.89          10.780      3.140       7.000     
16384      98304           131072            1000      6.294       15.62       20.82          11.060      6.120       25.680    
32768      196608          262144            1000      12.571      15.64       20.85          19.400      12.100      44.300    
65536      393216          524288            1000      25.023      15.71       20.95          60.880      24.300      78.340    
131072     786432          1048576           1000      53.989      14.57       19.42          159.980     49.420      145.120   
262144     1572864         2097152           1000      243.826     6.45        8.60           273.320     215.440     213.020   
524288     3145728         4194304           1000      458.242     6.86        9.15           524.980     447.900     441.400   
1048576    6291456         8388608           1000      858.882     7.33        9.77           933.000     847.280     889.920   

