the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          7               16                1000      0.110       0.06        0.15           2.060       0.060       0.280     
2          14              32                1000      0.110       0.13        0.29           0.620       0.060       0.760     
4          28              64                1000      0.108       0.26        0.59           0.760       0.060       0.600     
8          56              128               1000      0.109       0.52        1.18           0.280       0.060       0.800     
16         112             256               1000      0.107       1.05        2.39           2.040       0.080       0.580     
32         224             512               1000      0.119       1.88        4.29           0.420       0.100       0.500     
64         448             1024              1000      0.164       2.74        6.26           7.620       0.140       0.580     
128        896             2048              1000      0.235       3.81        8.72           0.440       0.220       0.980     
256        1792            4096              1000      0.424       4.22        9.66           0.780       0.400       1.940     
512        3584            8192              1000      0.838       4.28        9.78           1.420       0.800       3.540     
1024       7168            16384             1000      1.488       4.82        11.01          8.400       1.440       4.560     
2048       14336           32768             1000      3.162       4.53        10.36          5.860       3.040       8.960     
4096       28672           65536             1000      8.331       3.44        7.87           355.300     7.900       14.120    
8192       57344           131072            1000      12.004      4.78        10.92          173.100     11.520      25.360    
16384      114688          262144            1000      19.076      6.01        13.74          280.080     18.460      46.780    
32768      229376          524288            1000      39.844      5.76        13.16          96.120      36.660      100.380   
65536      458752          1048576           1000      212.043     2.16        4.95           309.180     198.320     224.740   
131072     917504          2097152           1000      389.050     2.36        5.39           458.800     377.620     377.700   
262144     1835008         4194304           1000      769.386     2.39        5.45           892.840     755.660     707.140   
524288     3670016         8388608           1000      1657.057    2.21        5.06           1884.420    1630.500    1668.500  
1048576    7340032         16777216          1000      3087.967    2.38        5.43           3483.360    3048.740    3034.000  

