the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          7               16                1000      0.133       0.05        0.12           0.620       0.080       0.760     
2          14              32                1000      0.140       0.10        0.23           0.660       0.060       0.880     
4          28              64                1000      0.133       0.21        0.48           0.680       0.080       0.440     
8          56              128               1000      0.141       0.40        0.91           0.740       0.080       0.480     
16         112             256               1000      0.153       0.73        1.67           6.240       0.100       1.000     
32         224             512               1000      0.147       1.52        3.48           0.500       0.140       0.520     
64         448             1024              1000      0.169       2.66        6.07           0.400       0.140       0.980     
128        896             2048              1000      0.256       3.49        7.99           0.700       0.240       0.740     
256        1792            4096              1000      0.479       3.74        8.55           1.000       0.460       1.620     
512        3584            8192              1000      0.799       4.49        10.25          2.040       0.780       3.540     
1024       7168            16384             1000      1.552       4.62        10.56          2.660       1.500       7.260     
2048       14336           32768             1000      3.727       3.85        8.79           267.980     3.120       14.080    
4096       28672           65536             1000      7.626       3.76        8.59           21.620      7.500       24.140    
8192       57344           131072            1000      12.159      4.72        10.78          104.380     11.900      59.060    
16384      114688          262144            1000      24.675      4.65        10.62          262.640     23.780      119.980   
32768      229376          524288            1000      56.338      4.07        9.31           146.800     54.020      272.160   
65536      458752          1048576           1000      287.222     1.60        3.65           512.720     261.840     425.000   
131072     917504          2097152           1000      1058.279    0.87        1.98           1164.800    687.180     1093.440  
262144     1835008         4194304           1000      2227.389    0.82        1.88           2308.120    1388.000    2221.720  
524288     3670016         8388608           1000      4795.466    0.77        1.75           5711.220    2496.860    4973.300  
1048576    7340032         16777216          1000      8359.108    0.88        2.01           9246.360    5110.400    9128.240  

