the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               16                1000      0.085       0.01        0.19           0.280       0.060       0.240     
2          2               32                1000      0.127       0.02        0.25           0.300       0.040       0.360     
4          4               64                1000      0.111       0.04        0.58           0.260       0.060       0.040     
8          8               128               1000      0.116       0.07        1.11           0.480       0.060       0.260     
16         16              256               1000      0.121       0.13        2.11           0.360       0.060       0.340     
32         32              512               1000      0.139       0.23        3.69           0.360       0.080       0.460     
64         64              1024              1000      0.151       0.42        6.77           0.540       0.120       0.540     
128        128             2048              1000      0.220       0.58        9.33           0.440       0.180       0.420     
256        256             4096              1000      0.427       0.60        9.59           0.980       0.380       1.040     
512        512             8192              1000      0.811       0.63        10.10          2.080       0.760       2.780     
1024       1024            16384             1000      2.099       0.49        7.80           70.980      1.960       5.000     
2048       2048            32768             1000      3.916       0.52        8.37           10.500      3.840       10.500    
4096       4096            65536             1000      8.653       0.47        7.57           51.000      8.160       22.640    
8192       8192            131072            1000      17.303      0.47        7.58           27.440      16.340      39.580    
16384      16384           262144            1000      34.979      0.47        7.49           78.340      33.120      77.520    
32768      32768           524288            1000      205.537     0.16        2.55           274.020     184.420     188.740   
65536      65536           1048576           1000      486.602     0.13        2.15           559.800     475.080     507.500   
131072     131072          2097152           1000      1065.477    0.12        1.97           1172.000    1046.860    1033.960  
262144     262144          4194304           1000      2239.521    0.12        1.87           2480.460    2210.140    2226.240  
524288     524288          8388608           1000      5012.890    0.10        1.67           5254.080    4976.320    4997.640  
1048576    1048576         16777216          1000      9973.861    0.11        1.68           10518.860   9909.780    10286.200 

