the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          8               24                1000      0.115       0.07        0.21           0.300       0.060       0.080     
2          16              48                1000      0.115       0.14        0.42           0.300       0.040       0.820     
4          32              96                1000      0.121       0.26        0.79           0.300       0.040       0.480     
8          64              192               1000      0.112       0.57        1.71           0.300       0.060       0.480     
16         128             384               1000      0.118       1.09        3.26           0.440       0.100       0.380     
32         256             768               1000      0.149       1.72        5.16           0.320       0.120       0.380     
64         512             1536              1000      0.206       2.48        7.44           0.720       0.180       0.820     
128        1024            3072              1000      0.347       2.95        8.85           0.580       0.280       0.880     
256        2048            6144              1000      0.566       3.62        10.86          1.260       0.520       2.620     
512        4096            12288             1000      1.061       3.86        11.58          1.780       0.980       4.960     
1024       8192            24576             1000      2.244       3.65        10.95          3.680       2.060       7.000     
2048       16384           49152             1000      5.725       2.86        8.59           19.460      4.080       13.260    
4096       32768           98304             1000      13.733      2.39        7.16           190.600     11.680      19.860    
8192       65536           196608            1000      22.416      2.92        8.77           37.900      19.180      35.160    
16384      131072          393216            1000      59.321      2.21        6.63           114.960     51.740      74.080    
32768      262144          786432            1000      179.046     1.46        4.39           229.760     119.580     132.720   
65536      524288          1572864           1000      306.753     1.71        5.13           430.200     252.900     336.440   
131072     1048576         3145728           1000      644.532     1.63        4.88           1070.560    542.340     585.800   
262144     2097152         6291456           1000      1346.589    1.56        4.67           2059.980    1275.640    1422.040  
524288     4194304         12582912          1000      2789.011    1.50        4.51           4125.340    2676.940    2776.100  
1048576    8388608         25165824          1000      6075.727    1.38        4.14           11471.540   5503.720    6885.860  

