the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               16                1000      0.095       0.02        0.17           0.760       0.040       0.080     
2          4               32                1000      0.095       0.04        0.34           0.300       0.040       0.400     
4          8               64                1000      0.091       0.09        0.70           0.400       0.040       0.660     
8          16              128               1000      0.091       0.18        1.41           0.460       0.040       0.660     
16         32              256               1000      0.097       0.33        2.64           0.260       0.060       0.360     
32         64              512               1000      0.098       0.65        5.23           0.260       0.080       0.140     
64         128             1024              1000      0.117       1.10        8.79           0.320       0.100       0.320     
128        256             2048              1000      0.176       1.45        11.61          0.320       0.160       0.200     
256        512             4096              1000      0.282       1.82        14.53          0.880       0.260       0.940     
512        1024            8192              1000      0.468       2.19        17.49          1.160       0.440       1.840     
1024       2048            16384             1000      0.928       2.21        17.66          2.140       0.880       2.380     
2048       4096            32768             1000      1.874       2.19        17.48          3.400       1.840       5.420     
4096       8192            65536             1000      3.874       2.11        16.92          84.240      3.700       8.380     
8192       16384           131072            1000      7.667       2.14        17.10          55.500      7.280       15.440    
16384      32768           262144            1000      16.304      2.01        16.08          51.680      15.660      29.140    
32768      65536           524288            1000      32.727      2.00        16.02          85.820      31.300      59.160    
65536      131072          1048576           1000      168.465     0.78        6.22           214.320     135.140     152.340   
131072     262144          2097152           1000      237.278     1.10        8.84           322.040     221.240     223.040   
262144     524288          4194304           1000      594.831     0.88        7.05           731.720     546.100     670.100   
524288     1048576         8388608           1000      1401.589    0.75        5.99           1693.340    1326.920    1615.720  
1048576    2097152         16777216          1000      3479.249    0.60        4.82           3754.020    3196.980    3388.440  

