the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               20                1000      0.093       0.02        0.21           0.280       0.040       0.060     
2          4               40                1000      0.100       0.04        0.40           0.240       0.060       0.180     
4          8               80                1000      0.103       0.08        0.78           0.260       0.040       0.580     
8          16              160               1000      0.098       0.16        1.63           0.240       0.060       0.080     
16         32              320               1000      0.111       0.29        2.88           0.280       0.060       0.420     
32         64              640               1000      0.133       0.48        4.82           0.440       0.080       0.760     
64         128             1280              1000      0.169       0.76        7.59           0.520       0.120       0.360     
128        256             2560              1000      0.227       1.13        11.30          0.400       0.200       0.340     
256        512             5120              1000      0.354       1.45        14.46          0.540       0.320       1.180     
512        1024            10240             1000      0.652       1.57        15.71          1.660       0.620       1.600     
1024       2048            20480             1000      1.240       1.65        16.51          2.040       1.200       4.060     
2048       4096            40960             1000      2.465       1.66        16.62          9.040       2.400       7.840     
4096       8192            81920             1000      4.767       1.72        17.19          9.460       4.660       22.620    
8192       16384           163840            1000      9.429       1.74        17.38          81.880      9.140       27.960    
16384      32768           327680            1000      18.865      1.74        17.37          51.120      18.560      63.340    
32768      65536           655360            1000      56.780      1.15        11.54          135.220     48.820      146.040   
65536      131072          1310720           1000      310.565     0.42        4.22           350.640     301.860     324.320   
131072     262144          2621440           1000      698.090     0.38        3.76           761.460     687.680     690.740   
262144     524288          5242880           1000      1389.963    0.38        3.77           1437.280    1378.920    1428.240  
524288     1048576         10485760          1000      2779.047    0.38        3.77           3066.600    2758.800    2766.520  
1048576    2097152         20971520          1000      6062.202    0.35        3.46           7171.340    5860.160    6031.060  

