the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               24                1000      0.102       0.02        0.23           0.280       0.040       0.360     
2          4               48                1000      0.088       0.05        0.55           0.260       0.040       0.360     
4          8               96                1000      0.106       0.08        0.90           0.300       0.040       0.200     
8          16              192               1000      0.107       0.15        1.79           0.280       0.060       0.320     
16         32              384               1000      0.111       0.29        3.45           0.320       0.060       0.360     
32         64              768               1000      0.120       0.53        6.41           0.520       0.060       0.260     
64         128             1536              1000      0.141       0.91        10.88          0.340       0.100       0.540     
128        256             3072              1000      0.213       1.20        14.44          7.380       0.160       1.040     
256        512             6144              1000      0.327       1.56        18.77          0.600       0.280       1.040     
512        1024            12288             1000      0.697       1.47        17.63          7.700       0.600       2.460     
1024       2048            24576             1000      1.229       1.67        20.00          7.000       1.100       3.460     
2048       4096            49152             1000      2.524       1.62        19.48          3.820       2.440       7.000     
4096       8192            98304             1000      5.172       1.58        19.01          9.560       4.960       18.160    
8192       16384           196608            1000      10.666      1.54        18.43          212.680     9.840       27.180    
16384      32768           393216            1000      19.790      1.66        19.87          63.660      18.640      65.180    
32768      65536           786432            1000      69.846      0.94        11.26          160.360     54.580      157.240   
65536      131072          1572864           1000      205.024     0.64        7.67           262.640     189.920     208.440   
131072     262144          3145728           1000      422.839     0.62        7.44           485.780     417.000     411.320   
262144     524288          6291456           1000      867.642     0.60        7.25           967.000     858.340     851.920   
524288     1048576         12582912          1000      1892.204    0.55        6.65           2088.820    1862.640    1899.580  
1048576    2097152         25165824          1000      4989.543    0.42        5.04           5496.980    4898.760    5179.700  

