the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               16                1000      0.121       0.01        0.13           0.480       0.040       0.220     
2          2               32                1000      0.133       0.02        0.24           0.400       0.040       0.840     
4          4               64                1000      0.127       0.03        0.50           0.300       0.040       0.520     
8          8               128               1000      0.127       0.06        1.01           0.300       0.040       0.360     
16         16              256               1000      0.109       0.15        2.34           0.420       0.040       0.300     
32         32              512               1000      0.111       0.29        4.60           0.440       0.060       0.380     
64         64              1024              1000      0.119       0.54        8.63           0.280       0.100       0.600     
128        128             2048              1000      0.166       0.77        12.32          0.440       0.140       0.700     
256        256             4096              1000      0.260       0.98        15.74          0.500       0.240       0.700     
512        512             8192              1000      0.450       1.14        18.22          1.060       0.400       1.180     
1024       1024            16384             1000      0.893       1.15        18.35          2.200       0.820       2.440     
2048       2048            32768             1000      1.695       1.21        19.33          2.400       1.620       4.280     
4096       4096            65536             1000      3.254       1.26        20.14          11.920      3.200       7.640     
8192       8192            131072            1000      6.409       1.28        20.45          115.620     6.120       16.920    
16384      16384           262144            1000      12.435      1.32        21.08          39.700      12.060      32.040    
32768      32768           524288            1000      27.168      1.21        19.30          70.640      24.300      66.420    
65536      65536           1048576           1000      140.657     0.47        7.45           196.460     113.840     130.460   
131072     131072          2097152           1000      230.910     0.57        9.08           281.280     218.800     253.160   
262144     262144          4194304           1000      514.206     0.51        8.16           598.240     505.880     509.500   
524288     524288          8388608           1000      1084.323    0.48        7.74           1207.280    1071.640    1076.200  
1048576    1048576         16777216          1000      2361.153    0.44        7.11           2623.980    2334.020    2364.480  

