the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.142       0.01        0.08           2.040       0.040       0.600     
2          2               24                1000      0.140       0.01        0.17           0.500       0.060       3.820     
4          4               48                1000      0.170       0.02        0.28           1.680       0.100       0.420     
8          8               96                1000      0.179       0.04        0.54           0.820       0.100       0.460     
16         16              192               1000      0.130       0.12        1.47           2.260       0.060       0.500     
32         32              384               1000      0.141       0.23        2.72           0.860       0.080       0.480     
64         64              768               1000      0.162       0.39        4.74           0.520       0.100       0.460     
128        128             1536              1000      0.195       0.66        7.90           3.140       0.140       0.800     
256        256             3072              1000      0.249       1.03        12.32          0.820       0.200       0.600     
512        512             6144              1000      0.354       1.45        17.34          1.100       0.300       1.200     
1024       1024            12288             1000      0.584       1.75        21.06          1.660       0.520       1.580     
2048       2048            24576             1000      1.835       1.12        13.39          4.800       1.260       3.180     
4096       4096            49152             1000      2.638       1.55        18.63          62.960      2.500       5.660     
8192       8192            98304             1000      5.262       1.56        18.68          95.580      5.080       11.460    
16384      16384           196608            1000      11.267      1.45        17.45          70.200      10.960      41.040    
32768      32768           393216            1000      22.422      1.46        17.54          132.740     20.680      130.060   
65536      65536           786432            1000      102.435     0.64        7.68           185.320     88.600      215.060   
131072     131072          1572864           1000      458.898     0.29        3.43           2415.920    415.660     3025.660  
262144     262144          3145728           1000      1163.096    0.23        2.70           6103.520    1103.200    6712.660  
524288     524288          6291456           1000      2324.426    0.23        2.71           13173.300   2126.260    2118.140  
1048576    1048576         12582912          1000      4829.479    0.22        2.61           12001.600   4603.180    4428.860  

