the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.133       0.01        0.09           33.780      0.040       0.860     
2          2               24                1000      0.101       0.02        0.24           0.260       0.040       0.540     
4          4               48                1000      0.103       0.04        0.46           0.280       0.060       0.220     
8          8               96                1000      0.105       0.08        0.92           0.280       0.080       0.460     
16         16              192               1000      0.094       0.17        2.05           0.260       0.060       0.220     
32         32              384               1000      0.107       0.30        3.57           0.580       0.080       0.300     
64         64              768               1000      0.132       0.48        5.80           0.300       0.100       0.840     
128        128             1536              1000      0.179       0.71        8.56           0.460       0.160       0.820     
256        256             3072              1000      0.316       0.81        9.73           0.500       0.280       1.340     
512        512             6144              1000      0.533       0.96        11.52          0.720       0.500       1.160     
1024       1024            12288             1000      1.062       0.96        11.57          1.280       1.020       2.080     
2048       2048            24576             1000      2.053       1.00        11.97          3.060       1.880       2.980     
4096       4096            49152             1000      3.821       1.07        12.86          142.480     3.520       6.280     
8192       8192            98304             1000      7.126       1.15        13.79          59.420      6.900       12.960    
16384      16384           196608            1000      14.561      1.13        13.50          30.740      13.580      40.160    
32768      32768           393216            1000      27.856      1.18        14.12          68.700      26.960      75.760    
65536      65536           786432            1000      92.364      0.71        8.51           131.400     85.120      121.500   
131072     131072          1572864           1000      206.873     0.63        7.60           259.960     198.460     239.760   
262144     262144          3145728           1000      538.997     0.49        5.84           613.420     519.860     514.860   
524288     524288          6291456           1000      976.213     0.54        6.44           1125.860    958.400     975.360   
1048576    1048576         12582912          1000      2371.232    0.44        5.31           2708.940    2330.800    2236.760  

