the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.090       0.01        0.13           0.220       0.040       0.120     
2          2               24                1000      0.091       0.02        0.26           0.320       0.040       0.240     
4          4               48                1000      0.093       0.04        0.52           0.300       0.040       1.020     
8          8               96                1000      0.100       0.08        0.96           0.260       0.060       0.640     
16         16              192               1000      0.097       0.17        1.99           0.300       0.060       0.500     
32         32              384               1000      0.104       0.31        3.68           0.220       0.060       0.280     
64         64              768               1000      0.136       0.47        5.63           0.320       0.080       0.520     
128        128             1536              1000      0.151       0.85        10.19          0.400       0.100       0.240     
256        256             3072              1000      0.200       1.28        15.38          0.380       0.160       0.500     
512        512             6144              1000      0.281       1.82        21.86          0.460       0.240       0.840     
1024       1024            12288             1000      0.604       1.70        20.36          1.440       0.540       1.440     
2048       2048            24576             1000      1.443       1.42        17.03          8.540       1.300       3.400     
4096       4096            49152             1000      2.666       1.54        18.44          11.560      2.560       7.180     
8192       8192            98304             1000      5.109       1.60        19.24          13.580      4.900       14.300    
16384      16384           196608            1000      10.191      1.61        19.29          17.900      9.840       24.540    
32768      32768           393216            1000      22.429      1.46        17.53          47.220      20.960      59.100    
65536      65536           786432            1000      71.214      0.92        11.04          151.960     61.740      124.860   
131072     131072          1572864           1000      300.199     0.44        5.24           342.660     289.140     282.940   
262144     262144          3145728           1000      657.260     0.40        4.79           1828.940    642.220     625.320   
524288     524288          6291456           1000      1289.903    0.41        4.88           1841.100    1271.440    1276.940  
1048576    1048576         12582912          1000      2100.495    0.50        5.99           2631.080    2067.920    2100.680  

