the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.124       0.01        0.06           0.480       0.060       0.780     
2          2               16                1000      0.138       0.01        0.12           0.660       0.040       0.700     
4          4               32                1000      0.120       0.03        0.27           0.520       0.060       0.480     
8          8               64                1000      0.130       0.06        0.49           0.500       0.080       1.080     
16         16              128               1000      0.128       0.13        1.00           0.520       0.100       0.300     
32         32              256               1000      0.130       0.25        1.96           0.320       0.100       0.320     
64         64              512               1000      0.137       0.47        3.74           0.360       0.100       0.680     
128        128             1024              1000      0.148       0.86        6.90           0.320       0.120       0.320     
256        256             2048              1000      0.192       1.34        10.69          0.360       0.160       0.660     
512        512             4096              1000      0.259       1.98        15.84          0.440       0.240       1.180     
1024       1024            8192              1000      0.437       2.34        18.73          0.860       0.420       1.280     
2048       2048            16384             1000      0.897       2.28        18.26          1.680       0.860       3.280     
4096       4096            32768             1000      1.704       2.40        19.23          2.540       1.620       4.020     
8192       8192            65536             1000      3.466       2.36        18.91          7.840       3.240       7.280     
16384      16384           131072            1000      6.370       2.57        20.58          14.260      6.200       19.420    
32768      32768           262144            1000      14.271      2.30        18.37          116.480     12.220      33.240    
65536      65536           524288            1000      28.038      2.34        18.70          81.680      25.060      68.780    
131072     131072          1048576           1000      149.501     0.88        7.01           2096.520    106.740     110.860   
262144     262144          2097152           1000      300.200     0.87        6.99           337.220     283.820     247.320   
524288     524288          4194304           1000      615.649     0.85        6.81           10025.320   514.640     475.620   
1048576    1048576         8388608           1000      1166.173    0.90        7.19           18231.480   980.760     1407.880  

