the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.066       0.03        0.12           0.240       0.040       0.100     
2          4               16                1000      0.060       0.07        0.27           0.160       0.040       0.460     
4          8               32                1000      0.079       0.10        0.40           0.500       0.060       0.200     
8          16              64                1000      0.075       0.21        0.86           0.260       0.060       0.200     
16         32              128               1000      0.114       0.28        1.13           0.320       0.080       0.280     
32         64              256               1000      0.143       0.45        1.79           0.560       0.120       0.300     
64         128             512               1000      0.188       0.68        2.72           0.720       0.160       0.400     
128        256             1024              1000      0.272       0.94        3.77           0.440       0.260       0.340     
256        512             2048              1000      0.184       2.79        11.14          0.340       0.180       0.260     
512        1024            4096              1000      0.312       3.28        13.14          0.480       0.300       0.380     
1024       2048            8192              1000      0.568       3.60        14.41          0.620       0.560       0.740     
2048       4096            16384             1000      1.154       3.55        14.20          56.520      1.080       1.320     
4096       8192            32768             1000      2.136       3.84        15.34          8.000       2.120       2.460     
8192       16384           65536             1000      4.195       3.91        15.62          10.580      4.160       4.380     
16384      32768           131072            1000      8.310       3.94        15.77          16.960      8.260       8.520     
32768      65536           262144            1000      16.522      3.97        15.87          22.520      16.480      16.960    
65536      131072          524288            1000      33.107      3.96        15.84          54.220      32.940      33.080    
131072     262144          1048576           1000      65.991      3.97        15.89          79.060      65.820      67.980    
262144     524288          2097152           1000      133.599     3.92        15.70          149.700     132.240     136.020   
524288     1048576         4194304           1000      271.480     3.86        15.45          288.240     270.000     271.600   
1048576    2097152         8388608           1000      544.625     3.85        15.40          570.100     541.800     542.420   

