the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.099       0.01        0.08           0.280       0.060       0.060     
2          2               16                1000      0.100       0.02        0.16           0.260       0.060       0.080     
4          4               32                1000      2.518       0.00        0.01           2406.860    0.040       0.300     
8          8               64                1000      0.114       0.07        0.56           0.260       0.060       0.360     
16         16              128               1000      0.124       0.13        1.03           0.280       0.040       0.080     
32         32              256               1000      0.118       0.27        2.18           0.280       0.060       0.240     
64         64              512               1000      0.134       0.48        3.82           0.580       0.080       0.180     
128        128             1024              1000      0.151       0.84        6.76           0.460       0.100       0.520     
256        256             2048              1000      0.208       1.23        9.85           0.520       0.140       0.420     
512        512             4096              1000      0.264       1.94        15.51          0.640       0.240       0.500     
1024       1024            8192              1000      0.455       2.25        17.99          1.240       0.400       0.940     
2048       2048            16384             1000      0.872       2.35        18.80          1.640       0.760       1.940     
4096       4096            32768             1000      1.725       2.38        19.00          3.060       1.620       3.760     
8192       8192            65536             1000      3.531       2.32        18.56          5.740       3.280       7.340     
16384      16384           131072            1000      6.574       2.49        19.94          11.520      6.320       17.680    
32768      32768           262144            1000      13.294      2.46        19.72          33.980      12.360      38.260    
65536      65536           524288            1000      27.465      2.39        19.09          93.060      24.500      74.160    
131072     131072          1048576           1000      133.976     0.98        7.83           150.900     110.180     144.620   
262144     262144          2097152           1000      231.829     1.13        9.05           274.580     226.900     242.200   
524288     524288          4194304           1000      528.154     0.99        7.94           596.260     519.300     564.580   
1048576    1048576         8388608           1000      1115.256    0.94        7.52           1224.340    1101.760    1106.060  

