the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               16                1000      0.095       0.01        0.17           0.280       0.040       0.140     
2          2               32                1000      0.111       0.02        0.29           0.480       0.040       0.740     
4          4               64                1000      0.098       0.04        0.65           0.540       0.040       0.340     
8          8               128               1000      0.110       0.07        1.16           0.380       0.040       0.500     
16         16              256               1000      0.063       0.25        4.04           0.220       0.040       0.280     
32         32              512               1000      0.069       0.46        7.38           0.580       0.040       0.080     
64         64              1024              1000      0.078       0.82        13.11          0.220       0.060       0.120     
128        128             2048              1000      0.093       1.38        22.11          0.200       0.080       0.320     
256        256             4096              1000      0.142       1.81        28.92          0.260       0.120       0.560     
512        512             8192              1000      0.222       2.31        36.98          0.440       0.200       0.500     
1024       1024            16384             1000      0.394       2.60        41.61          0.580       0.360       1.080     
2048       2048            32768             1000      0.806       2.54        40.64          1.200       0.740       1.780     
4096       4096            65536             1000      2.226       1.84        29.44          388.440     1.480       4.000     
8192       8192            131072            1000      3.428       2.39        38.24          130.560     3.160       9.900     
16384      16384           262144            1000      6.556       2.50        39.99          57.140      6.020       21.080    
32768      32768           524288            1000      12.776      2.56        41.04          31.660      12.040      39.040    
65536      65536           1048576           1000      25.971      2.52        40.37          121.940     23.680      83.840    
131072     131072          2097152           1000      157.698     0.83        13.30          199.560     139.100     123.600   
262144     262144          4194304           1000      255.422     1.03        16.42          310.400     248.420     246.520   
524288     524288          8388608           1000      549.620     0.95        15.26          606.340     539.460     535.200   
1048576    1048576         16777216          1000      1098.975    0.95        15.27          1211.900    1081.840    1086.320  

