the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               16                1000      0.060       0.03        0.27           0.080       0.060       0.100     
2          4               32                1000      0.068       0.06        0.47           0.080       0.060       0.360     
4          8               64                1000      0.063       0.13        1.02           0.080       0.060       0.120     
8          16              128               1000      0.075       0.21        1.71           0.080       0.060       0.100     
16         32              256               1000      0.088       0.36        2.91           0.100       0.080       0.220     
32         64              512               1000      0.124       0.52        4.13           0.140       0.120       0.120     
64         128             1024              1000      0.199       0.64        5.16           0.220       0.180       0.260     
128        256             2048              1000      0.343       0.75        5.98           0.360       0.340       0.440     
256        512             4096              1000      0.631       0.81        6.50           0.640       0.620       0.660     
512        1024            8192              1000      1.218       0.84        6.72           10.840      1.200       1.580     
1024       2048            16384             1000      2.379       0.86        6.89           20.560      2.340       2.360     
2048       4096            32768             1000      4.674       0.88        7.01           14.560      4.660       5.300     
4096       8192            65536             1000      9.312       0.88        7.04           23.200      9.280       9.580     
8192       16384           131072            1000      18.584      0.88        7.05           29.540      18.500      18.940    
16384      32768           262144            1000      37.170      0.88        7.05           52.340      36.920      39.120    
32768      65536           524288            1000      74.075      0.88        7.08           84.780      73.780      79.820    
65536      131072          1048576           1000      148.840     0.88        7.04           172.160     147.520     153.820   
131072     262144          2097152           1000      304.384     0.86        6.89           424.160     294.980     319.780   
262144     524288          4194304           1000      795.697     0.66        5.27           1085.700    729.920     633.640   
524288     1048576         8388608           1000      1245.403    0.84        6.74           1266.840    1239.000    1246.800  
1048576    2097152         16777216          1000      2488.468    0.84        6.74           2519.120    2479.000    2500.360  

