the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          7               16                1000      0.056       0.12        0.29           0.060       0.040       0.120     
2          14              32                1000      0.050       0.28        0.64           0.080       0.040       0.140     
4          28              64                1000      0.078       0.36        0.82           0.100       0.060       0.280     
8          56              128               1000      0.095       0.59        1.35           0.120       0.080       0.180     
16         112             256               1000      0.083       1.35        3.08           0.100       0.080       0.420     
32         224             512               1000      0.101       2.21        5.06           0.140       0.100       0.140     
64         448             1024              1000      0.136       3.30        7.55           0.160       0.120       0.180     
128        896             2048              1000      0.232       3.87        8.84           27.740      0.200       0.520     
256        1792            4096              1000      0.345       5.20        11.89          0.360       0.340       0.720     
512        3584            8192              1000      0.643       5.57        12.73          0.780       0.620       1.220     
1024       7168            16384             1000      1.248       5.74        13.13          1.300       1.240       1.940     
2048       14336           32768             1000      2.434       5.89        13.46          11.620      2.400       4.900     
4096       28672           65536             1000      4.631       6.19        14.15          12.840      4.600       10.500    
8192       57344           131072            1000      9.423       6.09        13.91          21.380      9.100       25.000    
16384      114688          262144            1000      21.317      5.38        12.30          38.020      19.520      76.060    
32768      229376          524288            1000      37.295      6.15        14.06          87.080      36.040      101.580   
65536      458752          1048576           1000      108.314     4.24        9.68           313.720     80.540      398.420   
131072     917504          2097152           1000      291.556     3.15        7.19           427.580     266.560     318.300   
262144     1835008         4194304           1000      562.054     3.26        7.46           745.700     549.240     641.920   
524288     3670016         8388608           1000      1502.113    2.44        5.58           1575.240    1486.420    1543.900  
1048576    7340032         16777216          1000      4060.485    1.81        4.13           4648.800    3961.460    4072.020  

