the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          7               16                1000      0.064       0.11        0.25           0.080       0.060       0.740     
2          14              32                1000      0.068       0.21        0.47           0.080       0.060       0.640     
4          28              64                1000      0.071       0.39        0.90           0.100       0.060       0.520     
8          56              128               1000      0.074       0.76        1.74           0.100       0.060       0.140     
16         112             256               1000      0.085       1.32        3.01           0.120       0.080       0.160     
32         224             512               1000      0.109       2.06        4.72           0.140       0.100       0.360     
64         448             1024              1000      0.157       2.85        6.52           0.180       0.140       0.400     
128        896             2048              1000      0.278       3.23        7.37           0.300       0.260       0.800     
256        1792            4096              1000      0.460       3.89        8.90           0.520       0.440       0.980     
512        3584            8192              1000      0.926       3.87        8.85           0.980       0.900       2.000     
1024       7168            16384             1000      1.773       4.04        9.24           11.520      1.720       5.060     
2048       14336           32768             1000      3.743       3.83        8.75           19.740      3.660       12.180    
4096       28672           65536             1000      10.422      2.75        6.29           18.660      10.100      32.240    
8192       57344           131072            1000      21.151      2.71        6.20           37.620      20.460      47.580    
16384      114688          262144            1000      30.909      3.71        8.48           72.400      28.900      96.660    
32768      229376          524288            1000      101.888     2.25        5.15           243.340     83.360      215.700   
65536      458752          1048576           1000      252.892     1.81        4.15           378.360     227.800     308.180   
131072     917504          2097152           1000      546.179     1.68        3.84           684.000     538.780     627.980   
262144     1835008         4194304           1000      1463.084    1.25        2.87           1513.320    1451.620    1507.780  
524288     3670016         8388608           1000      3049.656    1.20        2.75           3370.760    3020.780    3152.400  
1048576    7340032         16777216          1000      5142.833    1.43        3.26           5232.200    5125.160    5170.120  

