the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               16                1000      0.050       0.02        0.32           0.060       0.040       0.080     
2          2               32                1000      0.053       0.04        0.61           0.080       0.040       0.100     
4          4               64                1000      0.053       0.08        1.21           0.060       0.040       0.120     
8          8               128               1000      0.060       0.13        2.13           0.060       0.060       0.100     
16         16              256               1000      0.076       0.21        3.35           12.180      0.060       0.680     
32         32              512               1000      0.080       0.40        6.40           0.100       0.080       0.140     
64         64              1024              1000      0.104       0.62        9.84           0.140       0.100       0.260     
128        128             2048              1000      0.152       0.84        13.49          0.180       0.140       0.680     
256        256             4096              1000      0.248       1.03        16.51          0.280       0.240       0.620     
512        512             8192              1000      0.440       1.16        18.61          0.500       0.440       1.460     
1024       1024            16384             1000      0.850       1.20        19.27          0.900       0.840       2.680     
2048       2048            32768             1000      1.655       1.24        19.79          12.900      1.620       4.580     
4096       4096            65536             1000      4.150       0.99        15.79          15.380      4.040       10.920    
8192       8192            131072            1000      8.018       1.02        16.35          20.040      7.840       22.740    
16384      16384           262144            1000      16.133      1.02        16.25          37.420      15.860      45.260    
32768      32768           524288            1000      33.321      0.98        15.73          59.860      32.120      81.420    
65536      65536           1048576           1000      69.515      0.94        15.08          161.020     68.840      186.080   
131072     131072          2097152           1000      298.057     0.44        7.04           581.140     239.020     489.060   
262144     262144          4194304           1000      853.542     0.31        4.91           911.480     839.960     852.220   
524288     524288          8388608           1000      2448.244    0.21        3.43           2473.620    2423.160    2221.700  
1048576    1048576         16777216          1000      5003.252    0.21        3.35           5053.400    4962.260    4706.120  

