the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.053       0.11        0.45           0.080       0.040       0.120     
2          12              48                1000      0.055       0.22        0.87           0.080       0.040       0.220     
4          24              96                1000      0.066       0.37        1.46           0.080       0.060       0.380     
8          48              192               1000      0.077       0.62        2.50           0.100       0.060       0.100     
16         96              384               1000      0.060       1.60        6.38           0.080       0.060       0.200     
32         192             768               1000      0.067       2.87        11.46          0.080       0.060       0.260     
64         384             1536              1000      0.092       4.17        16.69          0.120       0.080       0.160     
128        768             3072              1000      0.130       5.90        23.62          0.160       0.120       0.180     
256        1536            6144              1000      0.210       7.32        29.29          0.220       0.200       0.480     
512        3072            12288             1000      0.378       8.13        32.50          0.400       0.360       0.780     
1024       6144            24576             1000      0.716       8.58        34.31          0.920       0.700       2.300     
2048       12288           49152             1000      1.408       8.73        34.92          16.420      1.380       3.480     
4096       24576           98304             1000      2.748       8.94        35.77          12.640      2.720       8.340     
8192       49152           196608            1000      5.399       9.10        36.42          27.200      5.360       14.100    
16384      98304           393216            1000      10.801      9.10        36.41          27.100      10.600      29.040    
32768      196608          786432            1000      21.950      8.96        35.83          34.740      21.660      60.180    
65536      393216          1572864           1000      42.754      9.20        36.79          95.160      42.100      123.720   
131072     786432          3145728           1000      89.722      8.77        35.06          243.780     84.240      221.640   
262144     1572864         6291456           1000      422.235     3.73        14.90          649.300     359.280     423.560   
524288     3145728         12582912          1000      714.913     4.40        17.60          767.980     685.080     771.620   
1048576    6291456         25165824          1000      1518.251    4.14        16.58          1552.800    1509.740    1553.360  

