the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.054       0.11        0.44           0.060       0.040       0.080     
2          12              48                1000      0.056       0.21        0.86           0.080       0.040       0.320     
4          24              96                1000      0.055       0.44        1.75           0.060       0.040       0.220     
8          48              192               1000      0.057       0.83        3.34           0.060       0.040       0.080     
16         96              384               1000      0.060       1.59        6.35           0.080       0.060       0.100     
32         192             768               1000      0.071       2.72        10.88          0.100       0.060       0.180     
64         384             1536              1000      0.092       4.18        16.71          0.300       0.080       0.280     
128        768             3072              1000      0.134       5.75        22.98          0.160       0.120       0.200     
256        1536            6144              1000      0.218       7.06        28.23          0.340       0.200       0.840     
512        3072            12288             1000      0.386       7.97        31.86          0.420       0.380       1.200     
1024       6144            24576             1000      0.730       8.41        33.65          0.860       0.720       2.480     
2048       12288           49152             1000      1.419       8.66        34.63          9.900       1.400       3.960     
4096       24576           98304             1000      3.020       8.14        32.55          29.100      2.960       11.820    
8192       49152           196608            1000      5.643       8.71        34.84          17.000      5.560       23.500    
16384      98304           393216            1000      11.541      8.52        34.07          33.340      11.200      33.300    
32768      196608          786432            1000      23.211      8.47        33.88          47.380      22.380      76.480    
65536      393216          1572864           1000      46.936      8.38        33.51          108.180     43.780      118.020   
131072     786432          3145728           1000      102.059     7.71        30.82          293.580     87.040      230.800   
262144     1572864         6291456           1000      519.320     3.03        12.11          746.320     392.700     455.880   
524288     3145728         12582912          1000      756.078     4.16        16.64          803.160     749.360     793.400   
1048576    6291456         25165824          1000      1544.734    4.07        16.29          1579.080    1536.760    1558.160  

