the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.053       0.02        0.15           0.080       0.040       0.100     
2          2               16                1000      0.052       0.04        0.31           0.080       0.040       0.080     
4          4               32                1000      0.050       0.08        0.64           0.080       0.040       0.220     
8          8               64                1000      0.050       0.16        1.28           0.080       0.040       0.160     
16         16              128               1000      0.056       0.29        2.30           0.060       0.040       0.140     
32         32              256               1000      0.060       0.54        4.30           0.080       0.040       0.100     
64         64              512               1000      0.069       0.93        7.43           0.100       0.060       0.160     
128        128             1024              1000      0.090       1.42        11.37          0.100       0.080       0.140     
256        256             2048              1000      0.130       1.97        15.74          0.180       0.120       0.220     
512        512             4096              1000      0.209       2.45        19.57          0.240       0.200       0.520     
1024       1024            8192              1000      0.370       2.77        22.13          0.420       0.360       0.980     
2048       2048            16384             1000      0.700       2.92        23.39          0.720       0.700       1.780     
4096       4096            32768             1000      1.363       3.01        24.05          11.660      1.340       3.800     
8192       8192            65536             1000      2.864       2.86        22.88          21.000      2.680       8.040     
16384      16384           131072            1000      6.356       2.58        20.62          21.780      6.180       15.680    
32768      32768           262144            1000      12.474      2.63        21.01          25.700      11.960      34.560    
65536      65536           524288            1000      25.739      2.55        20.37          42.680      24.860      49.500    
131072     131072          1048576           1000      51.367      2.55        20.41          99.480      49.060      103.760   
262144     262144          2097152           1000      143.604     1.83        14.60          289.140     99.600      292.960   
524288     524288          4194304           1000      472.615     1.11        8.87           644.500     378.600     495.380   
1048576    1048576         8388608           1000      948.638     1.11        8.84           1028.580    931.560     998.480   

