the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.050       0.02        0.16           0.060       0.040       0.680     
2          2               16                1000      0.054       0.04        0.30           0.060       0.040       0.260     
4          4               32                1000      0.054       0.07        0.59           0.140       0.040       0.300     
8          8               64                1000      0.060       0.13        1.07           0.080       0.060       0.240     
16         16              128               1000      0.064       0.25        1.99           0.080       0.060       0.120     
32         32              256               1000      0.074       0.44        3.48           0.080       0.060       0.220     
64         64              512               1000      0.093       0.69        5.53           0.120       0.080       0.180     
128        128             1024              1000      0.129       0.99        7.93           0.140       0.120       0.400     
256        256             2048              1000      0.208       1.23        9.85           0.240       0.200       0.440     
512        512             4096              1000      0.351       1.46        11.68          0.400       0.340       0.980     
1024       1024            8192              1000      0.665       1.54        12.33          8.680       0.640       2.520     
2048       2048            16384             1000      1.356       1.51        12.08          1.840       1.340       4.580     
4096       4096            32768             1000      3.590       1.14        9.13           12.540      3.500       9.640     
8192       8192            65536             1000      8.095       1.01        8.10           26.860      7.880       22.660    
16384      16384           131072            1000      13.707      1.20        9.56           28.240      13.360      40.040    
32768      32768           262144            1000      40.226      0.81        6.52           71.640      39.220      119.320   
65536      65536           524288            1000      75.622      0.87        6.93           193.360     72.320      226.660   
131072     131072          1048576           1000      238.977     0.55        4.39           519.540     211.260     476.880   
262144     262144          2097152           1000      1135.105    0.23        1.85           1371.520    1074.600    1108.900  
524288     524288          4194304           1000      2772.403    0.19        1.51           3067.260    2591.120    2452.420  
1048576    1048576         8388608           1000      4028.479    0.26        2.08           4130.280    3926.480    4586.780  

