the current thread cpu affinity is 0xffffffffffffffff, policy is 0, priority is 0
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.069       0.01        0.12           0.080       0.060       0.640     
2          2               16                1000      0.083       0.02        0.19           0.100       0.080       0.380     
4          4               32                1000      0.118       0.03        0.27           0.160       0.100       0.160     
8          8               64                1000      0.176       0.05        0.36           0.220       0.160       0.460     
16         16              128               1000      0.204       0.08        0.63           0.240       0.200       0.400     
32         32              256               1000      0.354       0.09        0.72           10.360      0.340       0.460     
64         64              512               1000      0.631       0.10        0.81           0.660       0.620       0.700     
128        128             1024              1000      1.218       0.11        0.84           10.460      1.200       1.260     
256        256             2048              1000      2.377       0.11        0.86           14.920      2.340       2.560     
512        512             4096              1000      4.685       0.11        0.87           13.820      4.660       4.700     
1024       1024            8192              1000      9.331       0.11        0.88           25.040      9.280       9.420     
2048       2048            16384             1000      18.593      0.11        0.88           29.540      18.440      18.820    
4096       4096            32768             1000      37.092      0.11        0.88           49.600      36.760      37.980    
8192       8192            65536             1000      74.037      0.11        0.89           83.860      73.280      76.420    
16384      16384           131072            1000      147.965     0.11        0.89           161.840     146.600     156.520   
32768      32768           262144            1000      295.836     0.11        0.89           312.380     293.980     314.920   
65536      65536           524288            1000      591.443     0.11        0.89           613.520     588.320     611.940   
131072     131072          1048576           1000      1183.747    0.11        0.89           1360.220    1176.960    1241.780  
262144     262144          2097152           1000      2576.362    0.10        0.81           2881.860    2547.260    2464.660  
524288     524288          4194304           1000      4893.790    0.11        0.86           4952.840    4815.900    4939.680  
1048576    1048576         8388608           1000      9746.642    0.11        0.86           12998.540   9626.300    10252.180 

