the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.053       0.11        0.45           0.080       0.040       0.360     
2          12              48                1000      0.056       0.21        0.86           0.060       0.040       0.300     
4          24              96                1000      0.068       0.35        1.41           0.080       0.060       0.260     
8          48              192               1000      0.078       0.62        2.47           0.100       0.060       0.300     
16         96              384               1000      0.100       0.96        3.84           0.120       0.080       0.280     
32         192             768               1000      0.133       1.45        5.79           0.160       0.120       0.240     
64         384             1536              1000      0.200       1.92        7.67           0.240       0.180       0.440     
128        768             3072              1000      0.334       2.30        9.20           0.360       0.320       0.580     
256        1536            6144              1000      0.604       2.54        10.18          0.640       0.580       1.700     
512        3072            12288             1000      1.172       2.62        10.48          1.280       1.160       3.660     
1024       6144            24576             1000      2.264       2.71        10.86          2.500       2.240       5.500     
2048       12288           49152             1000      5.186       2.37        9.48           13.980      5.140       10.400    
4096       24576           98304             1000      9.806       2.51        10.02          23.540      9.760       23.500    
8192       49152           196608            1000      20.304      2.42        9.68           38.900      20.120      37.780    
16384      98304           393216            1000      34.390      2.86        11.43          54.420      34.100      57.320    
32768      196608          786432            1000      80.306      2.45        9.79           147.300     79.060      169.580   
65536      393216          1572864           1000      174.703     2.25        9.00           371.860     172.000     346.740   
131072     786432          3145728           1000      723.499     1.09        4.35           783.320     709.740     741.160   
262144     1572864         6291456           1000      1825.701    0.86        3.45           2029.360    1799.940    1603.660  
524288     3145728         12582912          1000      4158.561    0.76        3.03           4266.820    4109.040    3834.340  
1048576    6291456         25165824          1000      7661.454    0.82        3.28           8882.940    7599.200    7362.420  

