the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.056       0.02        0.07           0.060       0.040       0.120     
2          2               8                 1000      0.058       0.03        0.14           0.060       0.040       0.260     
4          4               16                1000      0.062       0.06        0.26           0.080       0.060       0.120     
8          8               32                1000      0.070       0.11        0.46           0.080       0.060       0.160     
16         16              64                1000      0.078       0.21        0.82           0.100       0.060       0.280     
32         32              128               1000      0.100       0.32        1.28           0.120       0.100       0.300     
64         64              256               1000      0.125       0.51        2.06           0.140       0.120       0.260     
128        128             512               1000      0.176       0.73        2.90           0.340       0.160       0.260     
256        256             1024              1000      0.275       0.93        3.73           0.300       0.260       0.360     
512        512             2048              1000      0.476       1.08        4.30           0.520       0.460       1.240     
1024       1024            4096              1000      0.880       1.16        4.66           0.900       0.860       1.500     
2048       2048            8192              1000      1.709       1.20        4.79           10.720      1.680       2.760     
4096       4096            16384             1000      3.327       1.23        4.93           18.700      3.260       4.300     
8192       8192            32768             1000      6.591       1.24        4.97           19.320      6.520       7.760     
16384      16384           65536             1000      14.324      1.14        4.58           25.640      13.900      14.960    
32768      32768           131072            1000      26.769      1.22        4.90           37.960      26.640      29.340    
65536      65536           262144            1000      53.511      1.22        4.90           68.260      53.200      83.380    
131072     131072          524288            1000      107.218     1.22        4.89           161.120     106.300     113.600   
262144     262144          1048576           1000      249.776     1.05        4.20           421.040     206.460     221.760   
524288     524288          2097152           1000      884.823     0.59        2.37           1055.160    589.520     491.220   
1048576    1048576         4194304           1000      947.350     1.11        4.43           1036.920    934.800     951.220   

