the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.049       0.02        0.08           0.060       0.040       0.080     
2          2               8                 1000      0.052       0.04        0.15           0.060       0.040       0.060     
4          4               16                1000      0.052       0.08        0.31           0.080       0.040       0.140     
8          8               32                1000      0.057       0.14        0.56           0.080       0.040       0.100     
16         16              64                1000      0.064       0.25        1.00           0.080       0.060       0.120     
32         32              128               1000      0.085       0.38        1.50           0.160       0.080       0.240     
64         64              256               1000      0.132       0.49        1.94           0.240       0.120       0.440     
128        128             512               1000      0.208       0.61        2.46           0.320       0.200       0.580     
256        256             1024              1000      0.371       0.69        2.76           0.480       0.360       0.740     
512        512             2048              1000      0.740       0.69        2.77           24.080      0.700       1.140     
1024       1024            4096              1000      1.283       0.80        3.19           1.480       1.280       1.680     
2048       2048            8192              1000      2.508       0.82        3.27           5.640       2.480       3.640     
4096       4096            16384             1000      4.812       0.85        3.41           11.960      4.780       7.080     
8192       8192            32768             1000      9.629       0.85        3.40           20.600      9.560       10.420    
16384      16384           65536             1000      18.806      0.87        3.48           31.000      18.760      20.580    
32768      32768           131072            1000      41.801      0.78        3.14           57.640      37.200      39.380    
65536      65536           262144            1000      74.715      0.88        3.51           104.320     74.300      79.160    
131072     131072          524288            1000      149.607     0.88        3.50           222.020     147.840     157.660   
262144     262144          1048576           1000      305.538     0.86        3.43           521.220     295.360     309.960   
524288     524288          2097152           1000      963.327     0.54        2.18           1273.860    833.620     734.000   
1048576    1048576         4194304           1000      1291.682    0.81        3.25           1696.460    1229.600    1242.840  

