the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.050       0.02        0.16           0.060       0.040       0.100     
2          2               16                1000      0.056       0.04        0.29           0.080       0.040       0.280     
4          4               32                1000      0.057       0.07        0.57           0.080       0.040       0.280     
8          8               64                1000      0.056       0.14        1.14           0.060       0.040       0.100     
16         16              128               1000      0.058       0.28        2.21           0.060       0.040       0.080     
32         32              256               1000      0.064       0.50        4.00           0.080       0.060       0.160     
64         64              512               1000      0.071       0.91        7.25           0.100       0.060       0.260     
128        128             1024              1000      0.089       1.44        11.50          0.120       0.080       0.300     
256        256             2048              1000      0.133       1.93        15.41          0.180       0.120       0.220     
512        512             4096              1000      0.215       2.38        19.06          0.240       0.200       0.620     
1024       1024            8192              1000      0.375       2.73        21.84          0.420       0.360       0.740     
2048       2048            16384             1000      0.710       2.89        23.08          9.100       0.680       1.660     
4096       4096            32768             1000      1.353       3.03        24.22          1.780       1.340       3.800     
8192       8192            65536             1000      2.863       2.86        22.89          12.180      2.720       8.600     
16384      16384           131072            1000      6.226       2.63        21.05          18.500      5.880       17.780    
32768      32768           262144            1000      107.382     0.31        2.44           784.900     12.080      38.480    
65536      65536           524288            1000      253.044     0.26        2.07           1986.540    24.620      77.340    
131072     131072          1048576           1000      409.209     0.32        2.56           3830.780    49.620      153.560   
262144     262144          2097152           1000      140.840     1.86        14.89          3969.540    97.980      300.180   
524288     524288          4194304           1000      421.196     1.24        9.96           2761.620    387.160     615.880   
1048576    1048576         8388608           1000      1217.221    0.86        6.89           17352.740   1137.540    1244.440  

