the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.050       0.02        0.24           0.060       0.040       0.080     
2          2               24                1000      0.051       0.04        0.47           0.060       0.040       0.440     
4          4               48                1000      0.054       0.07        0.89           0.080       0.040       0.440     
8          8               96                1000      0.055       0.15        1.75           0.060       0.040       0.080     
16         16              192               1000      0.057       0.28        3.40           0.080       0.040       0.080     
32         32              384               1000      0.062       0.52        6.24           0.080       0.060       0.100     
64         64              768               1000      0.074       0.87        10.45          0.080       0.060       0.100     
128        128             1536              1000      0.098       1.31        15.75          0.120       0.080       0.160     
256        256             3072              1000      0.151       1.70        20.41          0.160       0.140       0.340     
512        512             6144              1000      0.241       2.12        25.45          0.280       0.240       0.520     
1024       1024            12288             1000      0.434       2.36        28.34          0.460       0.420       1.260     
2048       2048            24576             1000      0.893       2.29        27.51          1.020       0.860       3.020     
4096       4096            49152             1000      1.663       2.46        29.55          1.720       1.640       5.680     
8192       8192            98304             1000      4.941       1.66        19.90          14.220      4.820       10.460    
16384      16384           196608            1000      11.018      1.49        17.84          23.820      10.060      33.600    
32768      32768           393216            1000      21.060      1.56        18.67          38.760      20.600      68.840    
65536      65536           786432            1000      54.927      1.19        14.32          141.280     53.340      175.980   
131072     131072          1572864           1000      86.734      1.51        18.13          279.440     83.380      321.260   
262144     262144          3145728           1000      379.231     0.69        8.30           746.740     350.340     605.060   
524288     524288          6291456           1000      1112.770    0.47        5.65           1709.020    1087.320    1207.720  
1048576    1048576         12582912          1000      2188.779    0.48        5.75           2591.820    2160.140    2462.580  

