the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               8                 1000      0.050       0.04        0.16           0.060       0.040       0.060     
2          4               16                1000      0.051       0.08        0.31           0.060       0.040       0.080     
4          8               32                1000      0.057       0.14        0.57           0.080       0.040       0.120     
8          16              64                1000      0.063       0.25        1.01           0.080       0.060       0.140     
16         32              128               1000      0.084       0.38        1.52           0.100       0.080       0.160     
32         64              256               1000      0.108       0.59        2.37           0.120       0.100       0.220     
64         128             512               1000      0.156       0.82        3.28           0.200       0.140       0.200     
128        256             1024              1000      0.246       1.04        4.16           0.280       0.240       0.320     
256        512             2048              1000      0.186       2.75        11.01          0.220       0.180       0.280     
512        1024            4096              1000      0.310       3.30        13.21          0.340       0.300       0.380     
1024       2048            8192              1000      0.572       3.58        14.33          0.600       0.560       0.620     
2048       4096            16384             1000      1.099       3.73        14.90          1.120       1.080       1.240     
4096       8192            32768             1000      2.126       3.85        15.41          10.180      2.100       2.340     
8192       16384           65536             1000      4.181       3.92        15.68          12.460      4.160       4.260     
16384      32768           131072            1000      8.437       3.88        15.54          19.280      8.260       8.520     
32768      65536           262144            1000      16.567      3.96        15.82          32.100      16.500      19.420    
65536      131072          524288            1000      33.349      3.93        15.72          46.440      32.940      33.060    
131072     262144          1048576           1000      66.650      3.93        15.73          79.120      65.820      66.180    
262144     524288          2097152           1000      132.875     3.95        15.78          147.820     131.620     135.880   
524288     1048576         4194304           1000      267.021     3.93        15.71          286.140     263.220     271.680   
1048576    2097152         8388608           1000      533.426     3.93        15.73          559.060     526.360     542.320   

