the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.050       0.02        0.08           0.060       0.040       0.060     
2          2               8                 1000      0.052       0.04        0.15           0.060       0.040       0.100     
4          4               16                1000      0.056       0.07        0.29           0.080       0.040       0.120     
8          8               32                1000      0.062       0.13        0.51           0.080       0.060       0.440     
16         16              64                1000      0.066       0.24        0.97           0.100       0.060       0.100     
32         32              128               1000      0.069       0.46        1.85           0.100       0.060       0.160     
64         64              256               1000      0.069       0.93        3.70           0.080       0.060       0.120     
128        128             512               1000      0.080       1.60        6.39           0.120       0.080       0.140     
256        256             1024              1000      0.104       2.46        9.84           0.120       0.100       0.200     
512        512             2048              1000      0.150       3.41        13.65          0.180       0.140       0.480     
1024       1024            4096              1000      0.230       4.44        17.78          0.280       0.220       1.860     
2048       2048            8192              1000      0.412       4.97        19.87          0.440       0.400       3.180     
4096       4096            16384             1000      0.794       5.16        20.63          16.880      0.760       4.060     
8192       8192            32768             1000      1.634       5.01        20.06          12.020      1.600       7.180     
16384      16384           65536             1000      5.023       3.26        13.05          21.300      4.960       14.320    
32768      32768           131072            1000      9.975       3.28        13.14          27.020      9.820       24.080    
65536      65536           262144            1000      19.636      3.34        13.35          33.120      19.540      60.160    
131072     131072          524288            1000      40.952      3.20        12.80          120.760     39.000      131.520   
262144     262144          1048576           1000      95.031      2.76        11.03          304.560     83.040      203.900   
524288     524288          2097152           1000      428.366     1.22        4.90           860.940     399.960     395.720   
1048576    1048576         4194304           1000      598.267     1.75        7.01           742.300     493.000     663.300   

