the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               16                1000      0.052       0.02        0.31           0.060       0.040       0.080     
2          2               32                1000      0.052       0.04        0.62           0.060       0.040       0.100     
4          4               64                1000      0.056       0.07        1.14           0.080       0.040       0.400     
8          8               128               1000      0.057       0.14        2.26           0.100       0.040       0.180     
16         16              256               1000      0.054       0.30        4.78           0.080       0.040       0.080     
32         32              512               1000      0.058       0.55        8.83           0.060       0.040       0.060     
64         64              1024              1000      0.068       0.94        15.05          0.100       0.060       0.120     
128        128             2048              1000      0.088       1.45        23.22          0.100       0.080       0.240     
256        256             4096              1000      0.128       2.00        31.97          0.180       0.120       0.260     
512        512             8192              1000      0.205       2.50        39.95          0.220       0.200       0.420     
1024       1024            16384             1000      0.370       2.77        44.32          0.400       0.360       0.880     
2048       2048            32768             1000      0.697       2.94        46.99          0.880       0.680       2.060     
4096       4096            65536             1000      1.405       2.92        46.64          4.140       1.340       5.460     
8192       8192            131072            1000      2.875       2.85        45.59          3.260       2.720       8.180     
16384      16384           262144            1000      6.168       2.66        42.50          19.580      6.080       16.440    
32768      32768           524288            1000      12.342      2.66        42.48          33.380      11.820      32.080    
65536      65536           1048576           1000      24.483      2.68        42.83          42.100      23.680      47.660    
131072     131072          2097152           1000      51.072      2.57        41.06          102.800     49.120      102.140   
262144     262144          4194304           1000      148.186     1.77        28.30          332.380     99.440      315.320   
524288     524288          8388608           1000      499.104     1.05        16.81          694.340     423.980     410.480   
1048576    1048576         16777216          1000      988.535     1.06        16.97          1024.520    979.940     1076.280  

