the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.091       0.07        0.26           0.211       0.087       0.160     
2          12              48                1000      0.093       0.13        0.52           0.206       0.085       0.303     
4          24              96                1000      0.086       0.28        1.12           0.403       0.085       0.268     
8          48              192               1000      0.097       0.49        1.97           0.140       0.088       0.143     
16         96              384               1000      0.115       0.84        3.35           0.288       0.105       0.203     
32         192             768               1000      0.139       1.38        5.52           0.288       0.130       0.309     
64         384             1536              1000      0.188       2.04        8.18           0.231       0.176       0.357     
128        768             3072              1000      0.290       2.65        10.59          0.461       0.273       0.515     
256        1536            6144              1000      0.493       3.12        12.46          0.522       0.474       0.845     
512        3072            12288             1000      0.894       3.44        13.75          0.966       0.871       0.982     
1024       6144            24576             1000      1.703       3.61        14.43          1.753       1.675       1.960     
2048       12288           49152             1000      3.309       3.71        14.85          3.538       3.276       3.892     
4096       24576           98304             1000      6.511       3.77        15.10          11.505      6.437       6.763     
8192       49152           196608            1000      12.995      3.78        15.13          18.639      12.902      13.429    
16384      98304           393216            1000      25.822      3.81        15.23          25.938      25.681      26.227    
32768      196608          786432            1000      51.447      3.82        15.29          111.741     51.198      69.874    
65536      393216          1572864           1000      102.977     3.82        15.27          135.964     102.686     104.893   
131072     786432          3145728           1000      205.534     3.83        15.31          212.342     204.800     216.207   
262144     1572864         6291456           1000      419.570     3.75        15.00          437.289     417.834     436.928   
524288     3145728         12582912          1000      850.483     3.70        14.80          873.975     846.103     850.264   
1048576    6291456         25165824          1000      2018.434    3.12        12.47          2044.773    2007.255    2018.571  

