the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          7               16                1000      0.098       0.07        0.16           0.251       0.085       0.517     
2          14              32                1000      0.102       0.14        0.31           0.266       0.093       0.460     
4          28              64                1000      0.107       0.26        0.60           0.199       0.102       0.527     
8          56              128               1000      0.102       0.55        1.26           0.297       0.090       0.221     
16         112             256               1000      0.111       1.01        2.30           0.183       0.101       0.523     
32         224             512               1000      0.131       1.71        3.90           0.303       0.119       0.262     
64         448             1024              1000      0.170       2.63        6.01           0.419       0.156       0.740     
128        896             2048              1000      0.248       3.62        8.27           0.417       0.244       0.380     
256        1792            4096              1000      0.400       4.48        10.24          0.479       0.388       0.815     
512        3584            8192              1000      2.497       1.44        3.28           1788.794    0.690       0.893     
1024       7168            16384             1000      1.320       5.43        12.41          1.521       1.302       2.148     
2048       14336           32768             1000      2.552       5.62        12.84          2.680       2.536       2.934     
4096       28672           65536             1000      5.022       5.71        13.05          5.150       4.983       5.412     
8192       57344           131072            1000      9.971       5.75        13.15          27.505      9.876       11.582    
16384      114688          262144            1000      19.744      5.81        13.28          26.219      19.682      22.665    
32768      229376          524288            1000      39.485      5.81        13.28          237.512     39.239      46.098    
65536      458752          1048576           1000      78.695      5.83        13.32          191.856     78.448      118.445   
131072     917504          2097152           1000      158.226     5.80        13.25          236.803     156.947     250.253   
262144     1835008         4194304           1000      383.472     4.79        10.94          436.590     379.666     427.440   
524288     3670016         8388608           1000      804.849     4.56        10.42          819.525     799.549     766.328   
1048576    7340032         16777216          1000      1628.633    4.51        10.30          1770.445    1618.205    1588.710  

