the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          8               24                1000      0.088       0.09        0.27           0.126       0.078       0.230     
2          16              48                1000      0.089       0.18        0.54           0.133       0.079       0.252     
4          32              96                1000      0.094       0.34        1.02           0.131       0.080       0.247     
8          64              192               1000      0.090       0.71        2.12           0.210       0.085       0.421     
16         128             384               1000      0.098       1.31        3.92           0.137       0.097       0.235     
32         256             768               1000      0.113       2.26        6.79           0.171       0.105       0.407     
64         512             1536              1000      0.141       3.62        10.87          0.278       0.132       0.323     
128        1024            3072              1000      0.200       5.13        15.39          0.268       0.189       0.788     
256        2048            6144              1000      0.314       6.53        19.58          0.442       0.305       0.688     
512        4096            12288             1000      0.549       7.46        22.39          0.718       0.537       1.920     
1024       8192            24576             1000      1.009       8.12        24.36          1.168       0.967       1.233     
2048       16384           49152             1000      1.954       8.38        25.15          2.189       1.905       3.224     
4096       32768           98304             1000      3.847       8.52        25.56          4.137       3.735       5.762     
8192       65536           196608            1000      8.012       8.18        24.54          24.104      7.615       8.878     
16384      131072          393216            1000      15.325      8.55        25.66          165.472     14.944      39.761    
32768      262144          786432            1000      29.906      8.77        26.30          41.149      29.625      33.121    
65536      524288          1572864           1000      70.153      7.47        22.42          155.303     68.037      73.725    
131072     1048576         3145728           1000      152.166     6.89        20.67          170.368     147.174     184.623   
262144     2097152         6291456           1000      322.785     6.50        19.49          349.675     307.296     337.637   
524288     4194304         12582912          1000      650.373     6.45        19.35          721.256     630.817     654.911   
1048576    8388608         25165824          1000      1330.944    6.30        18.91          1416.203    1285.301    1302.037  

