the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.088       0.07        0.27           0.157       0.078       0.225     
2          12              48                1000      0.090       0.13        0.54           0.131       0.083       0.376     
4          24              96                1000      0.090       0.27        1.07           0.150       0.089       0.198     
8          48              192               1000      0.091       0.53        2.10           0.140       0.083       0.276     
16         96              384               1000      0.103       0.93        3.73           0.218       0.091       0.286     
32         192             768               1000      0.107       1.80        7.18           0.142       0.106       0.385     
64         384             1536              1000      0.140       2.74        10.95          0.252       0.138       0.274     
128        768             3072              1000      0.191       4.03        16.10          0.363       0.187       0.488     
256        1536            6144              1000      0.302       5.09        20.37          0.385       0.295       0.410     
512        3072            12288             1000      0.523       5.87        23.48          0.561       0.512       0.752     
1024       6144            24576             1000      0.975       6.30        25.20          1.029       0.941       1.188     
2048       12288           49152             1000      1.854       6.63        26.51          1.958       1.801       2.204     
4096       24576           98304             1000      3.644       6.74        26.98          3.817       3.530       3.841     
8192       49152           196608            1000      7.189       6.84        27.35          13.150      6.959       7.890     
16384      98304           393216            1000      14.326      6.86        27.45          19.146      13.844      14.346    
32768      196608          786432            1000      28.597      6.88        27.50          29.287      27.797      29.999    
65536      393216          1572864           1000      56.951      6.90        27.62          59.881      55.435      58.877    
131072     786432          3145728           1000      113.920     6.90        27.61          117.516     112.419     118.534   
262144     1572864         6291456           1000      255.384     6.16        24.64          270.643     252.123     256.607   
524288     3145728         12582912          1000      469.763     6.70        26.79          481.900     466.610     467.792   
1048576    6291456         25165824          1000      937.302     6.71        26.85          951.267     933.208     937.552   

