the current thread cpu affinity is 0xffffffff, policy is 0, priority is 0
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.104       0.01        0.08           0.307       0.098       0.422     
2          2               16                1000      0.115       0.02        0.14           0.321       0.104       0.315     
4          4               32                1000      0.102       0.04        0.31           0.308       0.089       0.349     
8          8               64                1000      0.107       0.07        0.60           0.314       0.104       0.156     
16         16              128               1000      0.121       0.13        1.06           0.333       0.108       0.214     
32         32              256               1000      0.149       0.21        1.71           0.218       0.148       0.210     
64         64              512               1000      0.212       0.30        2.42           0.245       0.202       0.343     
128        128             1024              1000      0.346       0.37        2.96           0.501       0.332       0.376     
256        256             2048              1000      0.583       0.44        3.51           0.842       0.572       0.997     
512        512             4096              1000      1.075       0.48        3.81           1.131       1.051       1.401     
1024       1024            8192              1000      2.074       0.49        3.95           2.127       2.003       2.339     
2048       2048            16384             1000      3.967       0.52        4.13           4.397       3.915       4.208     
4096       4096            32768             1000      7.926       0.52        4.13           8.743       7.707       8.179     
8192       8192            65536             1000      15.794      0.52        4.15           39.082      15.371      16.096    
16384      16384           131072            1000      31.439      0.52        4.17           46.873      30.686      31.916    
32768      32768           262144            1000      62.917      0.52        4.17           94.047      61.403      62.071    
65536      65536           524288            1000      125.431     0.52        4.18           166.410     122.838     126.730   
131072     131072          1048576           1000      250.967     0.52        4.18           269.625     245.767     264.860   
262144     262144          2097152           1000      501.435     0.52        4.18           534.648     491.725     552.165   
524288     524288          4194304           1000      1084.451    0.48        3.87           1115.275    1063.362    1088.453  
1048576    1048576         8388608           1000      2164.221    0.48        3.88           2215.216    2124.455    2176.968  

