the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.088       0.01        0.09           0.152       0.081       0.224     
2          2               16                1000      0.090       0.02        0.18           0.137       0.086       0.518     
4          4               32                1000      0.086       0.05        0.37           0.137       0.081       0.205     
8          8               64                1000      0.084       0.09        0.76           0.124       0.077       0.314     
16         16              128               1000      0.087       0.18        1.47           0.110       0.086       0.262     
32         32              256               1000      0.087       0.37        2.93           0.138       0.081       0.144     
64         64              512               1000      0.091       0.70        5.63           0.112       0.085       0.283     
128        128             1024              1000      0.094       1.36        10.85          0.119       0.091       0.175     
256        256             2048              1000      0.108       2.36        18.89          0.214       0.107       0.272     
512        512             4096              1000      2.290       0.22        1.79           2151.845    0.136       0.402     
1024       1024            8192              1000      0.200       5.13        41.04          0.233       0.196       0.536     
2048       2048            16384             1000      0.324       6.31        50.52          0.544       0.316       0.842     
4096       4096            32768             1000      0.665       6.16        49.26          0.951       0.624       1.181     
8192       8192            65536             1000      1.134       7.22        57.80          1.353       1.087       1.894     
16384      16384           131072            1000      2.262       7.24        57.94          5.743       2.125       3.939     
32768      32768           262144            1000      5.122       6.40        51.18          5.790       4.911       7.407     
65536      65536           524288            1000      10.348      6.33        50.66          11.167      9.992       14.963    
131072     131072          1048576           1000      21.065      6.22        49.78          25.290      20.473      30.953    
262144     262144          2097152           1000      42.024      6.24        49.90          65.758      41.105      66.704    
524288     524288          4194304           1000      96.537      5.43        43.45          129.281     88.991      151.099   
1048576    1048576         8388608           1000      347.895     3.01        24.11          352.812     330.823     351.078   

