the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.087       0.01        0.09           0.131       0.077       0.324     
2          2               16                1000      0.085       0.02        0.19           0.109       0.074       0.220     
4          4               32                1000      0.085       0.05        0.38           0.128       0.074       0.237     
8          8               64                1000      0.087       0.09        0.74           0.130       0.077       0.338     
16         16              128               1000      0.096       0.17        1.33           0.257       0.078       0.149     
32         32              256               1000      0.097       0.33        2.63           0.219       0.096       0.161     
64         64              512               1000      0.098       0.65        5.21           0.133       0.097       0.190     
128        128             1024              1000      0.102       1.26        10.05          0.353       0.101       0.312     
256        256             2048              1000      0.121       2.12        16.97          0.168       0.112       0.244     
512        512             4096              1000      0.160       3.20        25.60          0.198       0.152       0.227     
1024       1024            8192              1000      0.237       4.33        34.61          0.575       0.226       0.368     
2048       2048            16384             1000      0.384       5.33        42.61          0.591       0.381       0.553     
4096       4096            32768             1000      0.706       5.80        46.42          0.985       0.681       1.049     
8192       8192            65536             1000      1.308       6.27        50.12          1.511       1.287       1.607     
16384      16384           131072            1000      2.536       6.46        51.69          2.620       2.491       2.848     
32768      32768           262144            1000      5.299       6.18        49.47          192.205     4.971       7.478     
65536      65536           524288            1000      10.403      6.30        50.40          18.231      9.983       14.421    
131072     131072          1048576           1000      20.825      6.29        50.35          27.664      20.234      27.998    
262144     262144          2097152           1000      42.114      6.22        49.80          78.683      41.115      59.543    
524288     524288          4194304           1000      135.268     3.88        31.01          168.512     115.665     163.611   
1048576    1048576         8388608           1000      370.419     2.83        22.65          402.075     320.500     337.809   

