the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.084       0.01        0.10           0.099       0.073       0.255     
2          2               16                1000      0.085       0.02        0.19           0.134       0.082       0.259     
4          4               32                1000      0.086       0.05        0.37           0.140       0.074       0.216     
8          8               64                1000      0.088       0.09        0.73           0.109       0.087       0.154     
16         16              128               1000      0.080       0.20        1.60           0.108       0.074       0.128     
32         32              256               1000      0.081       0.39        3.16           0.110       0.078       0.130     
64         64              512               1000      0.087       0.73        5.86           0.094       0.083       0.219     
128        128             1024              1000      0.104       1.23        9.84           0.169       0.099       0.268     
256        256             2048              1000      0.134       1.91        15.32          0.388       0.130       0.414     
512        512             4096              1000      0.195       2.62        21.00          0.232       0.191       0.351     
1024       1024            8192              1000      0.320       3.20        25.58          0.361       0.315       0.481     
2048       2048            16384             1000      0.570       3.59        28.73          0.607       0.542       0.646     
4096       4096            32768             1000      1.065       3.85        30.78          1.202       1.043       1.446     
8192       8192            65536             1000      2.052       3.99        31.93          2.182       1.951       2.407     
16384      16384           131072            1000      4.031       4.06        32.51          4.370       3.896       4.411     
32768      32768           262144            1000      7.988       4.10        32.82          11.111      7.543       8.719     
65536      65536           524288            1000      15.928      4.11        32.92          20.386      15.057      17.953    
131072     131072          1048576           1000      31.702      4.13        33.08          49.525      29.947      34.663    
262144     262144          2097152           1000      63.202      4.15        33.18          79.558      59.763      71.441    
524288     524288          4194304           1000      135.569     3.87        30.94          155.987     128.957     167.395   
1048576    1048576         8388608           1000      312.409     3.36        26.85          351.188     307.739     317.840   

