the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.091       0.07        0.26           0.231       0.084       0.255     
2          12              48                1000      0.094       0.13        0.51           0.101       0.077       0.137     
4          24              96                1000      0.099       0.24        0.97           0.268       0.084       0.514     
8          48              192               1000      0.104       0.46        1.84           0.140       0.091       0.255     
16         96              384               1000      0.104       0.92        3.70           0.303       0.099       0.339     
32         192             768               1000      0.127       1.52        6.07           0.266       0.122       0.276     
64         384             1536              1000      0.173       2.22        8.88           0.216       0.169       0.403     
128        768             3072              1000      0.267       2.88        11.52          0.323       0.261       0.641     
256        1536            6144              1000      0.448       3.43        13.72          0.494       0.443       0.542     
512        3072            12288             1000      0.814       3.77        15.10          0.936       0.807       0.912     
1024       6144            24576             1000      1.542       3.98        15.93          1.695       1.533       1.642     
2048       12288           49152             1000      3.001       4.09        16.38          8.232       2.979       3.166     
4096       24576           98304             1000      5.931       4.14        16.57          10.370      5.885       6.230     
8192       49152           196608            1000      11.923      4.12        16.49          15.842      11.795      12.510    
16384      98304           393216            1000      23.790      4.13        16.53          34.618      23.589      24.187    
32768      196608          786432            1000      47.294      4.16        16.63          185.109     46.873      48.057    
65536      393216          1572864           1000      93.885      4.19        16.75          94.316      93.714      101.023   
131072     786432          3145728           1000      205.018     3.84        15.34          211.816     188.359     214.704   
262144     1572864         6291456           1000      453.204     3.47        13.88          480.448     429.648     458.560   
524288     3145728         12582912          1000      948.286     3.32        13.27          975.349     924.576     954.277   
1048576    6291456         25165824          1000      2534.249    2.48        9.93           2595.062    2471.200    2520.921  

