the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               8                 1000      0.093       0.01        0.09           0.315       0.089       0.657     
2          2               16                1000      0.097       0.02        0.17           0.301       0.078       0.240     
4          4               32                1000      0.097       0.04        0.33           0.319       0.082       0.228     
8          8               64                1000      0.100       0.08        0.64           0.307       0.080       0.314     
16         16              128               1000      0.101       0.16        1.27           0.303       0.086       0.274     
32         32              256               1000      0.108       0.30        2.36           0.371       0.096       0.256     
64         64              512               1000      0.120       0.53        4.26           0.336       0.105       0.448     
128        128             1024              1000      0.149       0.86        6.88           0.413       0.134       0.300     
256        256             2048              1000      0.211       1.21        9.70           0.504       0.197       0.286     
512        512             4096              1000      0.330       1.55        12.41          0.555       0.316       0.411     
1024       1024            8192              1000      0.563       1.82        14.56          1.144       0.548       0.707     
2048       2048            16384             1000      1.036       1.98        15.81          1.379       1.022       1.135     
4096       4096            32768             1000      2.001       2.05        16.38          9.461       1.972       2.453     
8192       8192            65536             1000      5.116       1.60        12.81          1199.849    3.871       4.782     
16384      16384           131072            1000      9.051       1.81        14.48          1074.812    7.839       10.437    
32768      32768           262144            1000      16.728      1.96        15.67          18.504      16.430      19.197    
65536      65536           524288            1000      33.935      1.93        15.45          42.785      33.380      37.594    
131072     131072          1048576           1000      69.475      1.89        15.09          158.453     67.416      84.233    
262144     262144          2097152           1000      228.672     1.15        9.17           270.415     185.809     236.317   
524288     524288          4194304           1000      519.623     1.01        8.07           563.425     467.189     546.628   
1048576    1048576         8388608           1000      1035.793    1.01        8.10           1079.902    1020.991    1026.173  

