the current thread cpu affinity is 0x10, policy is 1, priority is 49
实点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               12                1000      0.087       0.01        0.14           0.217       0.076       0.636     
2          2               24                1000      0.087       0.02        0.28           0.136       0.076       0.251     
4          4               48                1000      0.091       0.04        0.53           0.137       0.079       0.290     
8          8               96                1000      0.093       0.09        1.03           0.244       0.082       0.482     
16         16              192               1000      0.099       0.16        1.94           0.193       0.087       0.309     
32         32              384               1000      0.111       0.29        3.46           0.169       0.097       0.201     
64         64              768               1000      0.132       0.48        5.80           0.255       0.119       0.315     
128        128             1536              1000      0.177       0.72        8.69           0.237       0.163       0.355     
256        256             3072              1000      0.269       0.95        11.41          0.326       0.253       0.366     
512        512             6144              1000      0.451       1.14        13.63          0.512       0.430       0.570     
1024       1024            12288             1000      0.824       1.24        14.91          1.341       0.787       0.967     
2048       2048            24576             1000      1.613       1.27        15.24          1.768       1.542       1.752     
4096       4096            49152             1000      3.136       1.31        15.67          3.261       2.975       3.689     
8192       8192            98304             1000      6.360       1.29        15.46          7.450       6.073       8.112     
16384      16384           196608            1000      12.833      1.28        15.32          17.180      12.493      16.107    
32768      32768           393216            1000      28.546      1.15        13.77          198.915     27.852      33.997    
65536      65536           786432            1000      59.860      1.09        13.14          103.876     59.285      65.139    
131072     131072          1572864           1000      135.098     0.97        11.64          163.247     134.201     144.530   
262144     262144          3145728           1000      311.269     0.84        10.11          341.756     287.723     334.991   
524288     524288          6291456           1000      676.310     0.78        9.30           772.665     656.511     701.491   
1048576    1048576         12582912          1000      1411.999    0.74        8.91           1539.135    1392.780    1415.772  

