the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          1               4                 1000      0.091       0.01        0.04           0.097       0.088       0.200     
2          2               8                 1000      0.092       0.02        0.09           0.097       0.089       0.132     
4          4               16                1000      0.090       0.04        0.18           0.133       0.074       0.131     
8          8               32                1000      0.097       0.08        0.33           0.099       0.080       0.111     
16         16              64                1000      0.089       0.18        0.72           0.092       0.085       0.135     
32         32              128               1000      0.091       0.35        1.41           0.099       0.077       0.125     
64         64              256               1000      0.094       0.68        2.72           0.104       0.093       0.191     
128        128             512               1000      0.097       1.32        5.26           0.113       0.097       0.142     
256        256             1024              1000      0.109       2.34        9.36           0.139       0.107       0.153     
512        512             2048              1000      0.132       3.88        15.52          0.136       0.121       0.178     
1024       1024            4096              1000      0.173       5.91        23.64          0.200       0.160       0.200     
2048       2048            8192              1000      0.260       7.89        31.54          0.294       0.251       0.319     
4096       4096            16384             1000      0.431       9.50        38.01          0.475       0.418       0.580     
8192       8192            32768             1000      0.884       9.27        37.07          1.052       0.862       1.084     
16384      16384           65536             1000      1.883       8.70        34.80          2.653       1.820       2.103     
32768      32768           131072            1000      4.446       7.37        29.48          6.487       3.926       4.945     
65536      65536           262144            1000      11.092      5.91        23.63          14.960      10.221      11.297    
131072     131072          524288            1000      21.824      6.01        24.02          24.925      19.733      23.284    
262144     262144          1048576           1000      42.540      6.16        24.65          48.492      39.501      51.459    
524288     524288          2097152           1000      80.282      6.53        26.12          105.342     76.324      107.651   
1048576    1048576         4194304           1000      196.382     5.34        21.36          1719.399    180.705     222.576   

