the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          2               4                 1000      0.085       0.02        0.05           0.131       0.084       0.411     
2          4               8                 1000      0.085       0.05        0.09           0.109       0.085       0.235     
4          8               16                1000      0.090       0.09        0.18           0.130       0.089       0.161     
8          16              32                1000      0.090       0.18        0.35           0.124       0.089       0.135     
16         32              64                1000      0.085       0.38        0.75           0.115       0.084       0.261     
32         64              128               1000      0.087       0.74        1.47           0.118       0.086       0.128     
64         128             256               1000      0.092       1.39        2.77           0.131       0.089       0.222     
128        256             512               1000      0.101       2.54        5.07           0.131       0.098       0.177     
256        512             1024              1000      0.111       4.62        9.24           0.140       0.110       0.191     
512        1024            2048              1000      0.141       7.24        14.48          0.262       0.137       0.204     
1024       2048            4096              1000      0.198       10.32       20.64          0.346       0.197       0.269     
2048       4096            8192              1000      0.316       12.96       25.91          0.337       0.314       0.392     
4096       8192            16384             1000      0.550       14.90       29.80          0.602       0.547       0.688     
8192       16384           32768             1000      3.501       4.68        9.36           2484.021    1.015       1.432     
16384      32768           65536             1000      1.969       16.64       33.28          2.247       1.953       2.247     
32768      65536           131072            1000      4.982       13.15       26.31          1109.078    3.832       5.670     
65536      131072          262144            1000      7.639       17.16       34.31          16.469      7.557       10.137    
131072     262144          524288            1000      15.765      16.63       33.26          423.332     15.127      23.049    
262144     524288          1048576           1000      31.113      16.85       33.70          249.597     30.326      47.518    
524288     1048576         2097152           1000      61.367      17.09       34.17          102.518     60.443      104.960   
1048576    2097152         4194304           1000      150.573     13.93       27.86          274.448     143.622     264.788   

