the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.131       0.05        0.18           0.374       0.116       0.490     
4          24              96                1000      0.144       0.17        0.66           0.327       0.130       0.559     
16         96              384               1000      0.157       0.61        2.45           0.277       0.143       0.352     
64         384             1536              1000      0.198       1.94        7.75           0.265       0.182       0.310     
256        1536            6144              1000      0.349       4.40        17.60          0.584       0.325       0.461     
1024       6144            24576             1000      1.024       6.00        23.99          1.475       0.980       1.290     
4096       24576           98304             1000      4.345       5.66        22.63          5.686       4.276       6.381     
16384      98304           393216            1000      37.166      2.65        10.58          784.362     35.890      39.545    
65536      393216          1572864           1000      176.298     2.23        8.92           255.856     173.194     180.432   
262144     1572864         6291456           1000      828.027     1.90        7.60           935.302     794.754     845.182   
1048576    6291456         25165824          1000      4022.810    1.56        6.26           4252.728    3955.338    4176.054  

