the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          6               24                1000      0.079       0.08        0.30           0.107       0.078       0.260     
2          12              48                1000      0.082       0.15        0.58           0.135       0.081       0.543     
4          24              96                1000      0.082       0.29        1.16           0.292       0.081       0.129     
8          48              192               1000      0.091       0.53        2.11           0.140       0.089       0.291     
16         96              384               1000      0.103       0.93        3.72           0.257       0.101       0.546     
32         192             768               1000      0.129       1.49        5.94           0.483       0.125       0.862     
64         384             1536              1000      0.179       2.15        8.59           0.570       0.172       0.791     
128        768             3072              1000      0.280       2.74        10.97          1.032       0.270       1.168     
256        1536            6144              1000      0.479       3.21        12.83          0.720       0.468       1.372     
512        3072            12288             1000      0.901       3.41        13.64          21.329      0.860       1.733     
1024       6144            24576             1000      1.677       3.66        14.66          1.968       1.655       1.804     
2048       12288           49152             1000      3.293       3.73        14.92          27.242      3.229       4.047     
4096       24576           98304             1000      7.633       3.22        12.88          1185.845    6.396       6.806     
8192       49152           196608            1000      13.007      3.78        15.12          90.348      12.780      14.012    
16384      98304           393216            1000      25.770      3.81        15.26          129.470     25.396      26.186    
32768      196608          786432            1000      50.956      3.86        15.43          103.932     50.648      80.106    
65536      393216          1572864           1000      101.605     3.87        15.48          134.330     101.306     103.852   
131072     786432          3145728           1000      203.180     3.87        15.48          211.322     202.466     208.501   
262144     1572864         6291456           1000      412.735     3.81        15.24          426.536     410.819     415.398   
524288     3145728         12582912          1000      826.749     3.80        15.22          841.450     823.403     828.993   
1048576    6291456         25165824          1000      1987.870    3.16        12.66          2006.450    1979.181    2010.513  

