the current thread cpu affinity is 0x10, policy is 1, priority is 49
复点数     计算量          总数据量Byte      迭代次数  平均时间us  计算速率GF  总内存速率G/s  最大时间us  最小时间us  热身时间us
1          7               16                1000      0.082       0.09        0.19           0.126       0.079       0.657     
2          14              32                1000      0.086       0.16        0.37           0.132       0.079       0.813     
4          28              64                1000      0.090       0.31        0.71           0.235       0.083       0.242     
8          56              128               1000      0.082       0.69        1.57           0.393       0.080       0.430     
16         112             256               1000      0.089       1.25        2.87           0.309       0.087       0.248     
32         224             512               1000      0.102       2.20        5.03           0.131       0.100       0.437     
64         448             1024              1000      0.128       3.50        7.99           0.296       0.125       0.656     
128        896             2048              1000      0.178       5.03        11.49          0.371       0.175       0.951     
256        1792            4096              1000      0.283       6.33        14.47          0.485       0.279       1.378     
512        3584            8192              1000      0.493       7.27        16.61          0.848       0.483       0.773     
1024       7168            16384             1000      0.911       7.87        17.99          1.558       0.894       2.515     
2048       14336           32768             1000      1.738       8.25        18.86          1.862       1.720       2.560     
4096       28672           65536             1000      3.424       8.37        19.14          12.444      3.370       7.340     
8192       57344           131072            1000      7.112       8.06        18.43          9.221       6.878       9.898     
16384      114688          262144            1000      15.165      7.56        17.29          30.968      14.769      17.852    
32768      229376          524288            1000      31.439      7.30        16.68          599.750     30.417      36.578    
65536      458752          1048576           1000      61.917      7.41        16.94          289.762     60.652      76.137    
131072     917504          2097152           1000      131.531     6.98        15.94          288.453     125.329     172.972   
262144     1835008         4194304           1000      364.561     5.03        11.51          530.768     359.959     385.312   
524288     3670016         8388608           1000      798.639     4.60        10.50          1087.943    790.836     814.240   
1048576    7340032         16777216          1000      1576.912    4.65        10.64          1697.936    1566.271    1619.698  

